"Quartier 6","1982","","1990","","1999","","","évolution en %"
"VIVIENNE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","148","4.7","204","6.5","172","6.1","37.8","-15.7"
"Cadres, professions intellectuelles supérieures","424","13.6","588","18.8","764","26.9","38.7","29.9"
"Professions intermédiaires","284","9.1","336","10.8","344","12.1","18.3","2.4"
"Employés","540","17.3","412","13.2","340","12.0","-23.7","-17.5"
"Ouvriers","252","8.1","192","6.2","108","3.8","-23.8","-43.8"
"Autres actifs (1)","28","0.9","12","0.4","16","0.6","-57.1","33.3"
"ACTIFS","1 676","53.7","1 744","55.9","1 744","61.5","4.1","0.0"
"Enfants  de moins de 15 ans","344","11.0","380","12.2","300","10.6","10.5","-21.1"
"Retraités","488","15.6","468","15.0","368","13.0","-4.1","-21.4"
"Autres sans activité professionnelle","612","19.6","528","16.9","424","15.0","-13.7","-19.7"
"INACTIFS","1 444","46.3","1 376","44.1","1 092","38.5","-4.7","-20.6"
"TOTAL","3 120","100.0","3 120","100.0","2 836","100.0","0.0","-9.1"
