"15ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","104 974","100.0","114 331","100.0","118 839","100.0","125 880","100.0","135 408","100.0","140 035","100.0","144 609","100.0","3.4","3.3"
"Résidences principales","103 253","98.4","109 728","96.0","111 407","93.7","114 345","90.8","117 568","86.8","119 957","85.7","123 195","85.2","2.0","2.7"
"Logements vacants (1)","409","0.4","2 351","2.1","4 350","3.7","7 135","5.7","12 404","9.2","10 412","7.4","12 502","8.6","-16.1","20.1"
"Résidences secondaires","1 132","1.1","2 252","2.0","3 082","2.6","4 400","3.5","5 436","4.0","2 911","2.1","3 907","2.7","-46.4","34.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","6 755","4.8","5 005","3.5","","-25.9"
"Autres","180","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","103 253","100.0","109 728","100.0","111 407","100.0","114 345","100.0","117 568","100.0","119 957","100.0","123 195","100.0","2.0","2.7"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","69 063","66.2","65 796","60.0","59 936","53.8","45 620","39.9","40 084","34.1","37 205","31.0","35 996","29.2","-7.2","-3.2"
". 1915 à 1948","26 816","25.7","32 505","29.6","32 538","29.2","31 380","27.4","30 332","25.8","29 041","24.2","27 511","22.3","-4.3","-5.3"
". 1949 à 1981","365","0.3","11 427","10.4","18 933","17.0","37 345","32.7","47 152","40.1","49 423","41.2","49 988","40.6","4.8","1.1"
". 1982 à 1989","-","","-","","-","","-","","-","","4 288","3.6","3 566","2.9","","-16.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","6 134","5.0","",""
". Non déterminée","8 108","7.8","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","10 464","8.9","5 886","4.9","2 604","2.1","-43.8","-55.8"
". sans WC ou sans douche","-","","-","","-","","-","","13 816","11.8","8 550","7.1","6 027","4.9","-38.1","-29.5"
"Total sans confort","-","","-","","-","","-","","24 280","20.7","14 436","12.0","8 631","7.0","-40.5","-40.2"
". WC et douche, sans chauffage central","-","","-","","-","","-","","15 696","13.4","12 033","10.0","5 123","4.2","-23.3","-57.4"
". WC et douche, avec chauffage central","-","","-","","-","","-","","77 592","66.0","93 488","77.9","109 441","88.8","20.5","17.1"
"Total confort","-","","-","","-","","-","","93 288","79.3","105 521","88.0","114 564","93.0","13.1","8.6"
"Avec WC intérieurs","56 234","54.5","66 791","60.9","72 841","65.4","91 905","80.4","100 792","85.7","109 831","91.6","116 374","94.5","9.0","6.0"
"Avec baignoire ou douche","23 740","23.0","42 304","38.6","57 203","51.3","83 660","73.2","99 624","84.7","109 761","91.5","118 781","96.4","10.2","8.2"
