"15ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","103 253","100.0","109 730","100.0","110 230","100.0","114 345","100.0","117 568","100.0","119 957","100.0","123 195","100.0","2.0","2.7"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","31 335","30.3","37 461","34.1","41 884","38.0","49 930","43.7","58 584","49.8","62 763","52.3","66 360","53.9","7.1","5.7"
". 2 personnes","35 520","34.4","36 154","32.9","35 131","31.9","35 600","31.1","32 724","27.8","32 283","26.9","32 754","26.6","-1.3","1.5"
". 3 personnes","19 726","19.1","18 938","17.3","17 680","16.0","16 045","14.0","13 676","11.6","12 599","10.5","12 131","9.8","-7.9","-3.7"
". 4 personnes","9 776","9.5","10 070","9.2","9 371","8.5","8 730","7.6","8 756","7.4","8 593","7.2","8 201","6.7","-1.9","-4.6"
". 5 personnes et plus","6 896","6.7","7 107","6.5","6 164","5.6","4 040","3.5","3 828","3.3","3 719","3.1","3 749","3.0","-2.8","0.8"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","87 082","79.0","92 975","81.3","96 996","82.5","100 586","83.9","103 854","84.3","3.7","3.2"
". 1 enfant","-","","-","","13 760","12.5","12 930","11.3","11 664","9.9","10 860","9.1","10 843","8.8","-6.9","-0.2"
". 2 enfants","-","","-","","6 482","5.9","6 380","5.6","6 812","5.8","6 294","5.2","6 277","5.1","-7.6","-0.3"
". 3 enfants ou plus","-","","-","","2 906","2.6","2 060","1.8","2 096","1.8","2 217","1.8","2 221","1.8","5.8","0.2"
"POPULATION DES MÉNAGES","239 774","","247 158","","237 439","","226 520","","220 520","","219 441","","221 228","","-0.5","0.8"
"Taille moyenne des ménages","2.32","","2.25","","2.15","","1.98","","1.88","","1.83","","1.80","","-2.5","-1.8"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
