"Quartier 69","1982","","1990","","1999","","","évolution en %"
"GRANDES CARRIERES","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","2 636","3.8","2 576","3.7","2 128","3.2","-2.3","-17.4"
"Cadres, professions intellectuelles supérieures","6 316","9.1","9 464","13.6","11 092","16.4","49.8","17.2"
"Professions intermédiaires","7 612","10.9","8 688","12.4","9 160","13.6","14.1","5.4"
"Employés","12 836","18.5","11 036","15.8","10 352","15.3","-14.0","-6.2"
"Ouvriers","6 880","9.9","6 008","8.6","4 356","6.5","-12.7","-27.5"
"Autres actifs (1)","624","0.9","509","0.7","560","0.8","-18.4","10.0"
"ACTIFS","36 904","53.1","38 281","54.8","37 648","55.8","3.7","-1.7"
"Enfants  de moins de 15 ans","8 428","12.1","8 726","12.5","8 640","12.8","3.5","-1.0"
"Retraités","12 356","17.8","12 524","17.9","11 812","17.5","1.4","-5.7"
"Autres sans activité professionnelle","11 844","17.0","10 289","14.7","9 420","14.0","-13.1","-8.4"
"INACTIFS","32 628","46.9","31 539","45.2","29 872","44.2","-3.3","-5.3"
"TOTAL","69 532","100.0","69 820","100.0","67 520","100.0","0.4","-3.3"
