"Quartier 72","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"LA   CHAPELLE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 153","4.5","951","4.0","787","3.6","620","3.0","400","1.9","-35.5"
"Professions libérales et cadres supérieurs","355","1.4","375","1.6","339","1.5","560","2.7","580","2.8","3.6"
"Cadres moyens","1 050","4.1","1 207","5.1","1 220","5.6","1 420","6.9","1 360","6.6","-4.2"
"Employés","3 352","13.2","3 380","14.4","3 041","13.9","3 250","15.8","2 920","14.1","-10.2"
"Ouvriers","6 840","27.0","5 867","24.9","5 156","23.6","4 590","22.3","4 120","19.9","-10.2"
"Personnel de service","1 274","5.0","1 183","5.0","1 269","5.8","1 065","5.2","1 260","6.1","18.3"
"Autres actifs (2)","279","1.1","262","1.1","228","1.0","230","1.1","320","1.5","39.1"
"ACTIFS","14 303","56.4","13 225","56.2","12 040","55.0","11 735","57.0","10 960","52.8","-6.6"
"Enfants de moins de 15 ans","4 664","18.4","3 906","16.6","3 396","15.5","3 155","15.3","3 440","16.6","9.0"
"Retraités","1 487","5.9","1 982","8.4","2 191","10.0","2 675","13.0","2 544","12.3","-4.9"
"Autres sans activité professionnelle","4 889","19.3","4 415","18.8","4 255","19.4","3 030","14.7","3 796","18.3","25.3"
"INACTIFS","11 040","43.6","10 303","43.8","9 842","45.0","8 860","43.0","9 780","47.2","10.4"
"TOTAL","25 343","100.0","23 528","100.0","21 882","100.0","20 595","100.0","20 740","100.0","0.7"
