"Quartier 71","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GOUTTE D'OR","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 184","5.6","1 645","4.3","1 445","4.0","1 040","3.3","860","3.0","-17.3"
"Professions libérales et cadres supérieurs","628","1.6","704","1.9","671","1.9","1 015","3.2","760","2.6","-25.1"
"Cadres moyens","1 948","5.0","2 143","5.6","2 207","6.1","2 240","7.1","1 880","6.5","-16.1"
"Employés","5 185","13.4","5 633","14.8","5 149","14.3","4 280","13.5","3 960","13.7","-7.5"
"Ouvriers","9 889","25.6","8 658","22.8","8 302","23.0","7 090","22.3","5 580","19.3","-21.3"
"Personnel de service","2 324","6.0","2 229","5.9","2 178","6.0","1 750","5.5","1 840","6.4","5.1"
"Autres actifs (2)","426","1.1","487","1.3","309","0.9","320","1.0","140","0.5","-56.3"
"ACTIFS","22 584","58.4","21 499","56.6","20 261","56.2","17 735","55.9","15 020","51.9","-15.3"
"Enfants de moins de 15 ans","6 033","15.6","5 960","15.7","5 087","14.1","4 625","14.6","4 752","16.4","2.7"
"Retraités","2 659","6.9","3 082","8.1","4 079","11.3","4 265","13.4","3 780","13.1","-11.4"
"Autres sans activité professionnelle","7 412","19.2","7 443","19.6","6 599","18.3","5 125","16.1","5 368","18.6","4.7"
"INACTIFS","16 104","41.6","16 485","43.4","15 765","43.8","14 015","44.1","13 900","48.1","-0.8"
"TOTAL","38 688","100.0","37 984","100.0","36 026","100.0","31 750","100.0","28 920","100.0","-8.9"
