"3ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","7 500","11.6","5 347","8.5","4 141","7.4","2 610","6.2","1 840","5.2","-29.5"
"Professions libérales et cadres supérieurs","1 282","2.0","1 725","2.7","1 637","2.9","2 250","5.3","3 060","8.6","36.0"
"Cadres moyens","3 049","4.7","3 225","5.1","3 511","6.2","2 955","7.0","3 080","8.7","4.2"
"Employés","7 681","11.8","8 203","13.0","6 831","12.2","4 925","11.7","4 700","13.3","-4.6"
"Ouvriers","13 485","20.8","12 333","19.6","11 270","20.1","7 005","16.6","4 000","11.3","-42.9"
"Personnel de service","4 671","7.2","4 203","6.7","3 879","6.9","2 625","6.2","1 680","4.7","-36.0"
"Autres actifs (2)","792","1.2","796","1.3","656","1.2","600","1.4","600","1.7","0.0"
"ACTIFS","38 460","59.2","35 832","57.0","31 925","56.8","22 970","54.3","18 960","53.5","-17.5"
"Enfants de moins de 15 ans","10 161","15.7","9 635","15.3","7 707","13.7","5 450","12.9","4 120","11.6","-24.4"
"Retraités","3 627","5.6","4 889","7.8","5 782","10.3","6 130","14.5","5 652","15.9","-7.8"
"Autres sans activité professionnelle","12 668","19.5","12 548","19.9","10 776","19.2","7 715","18.3","6 708","18.9","-13.1"
"INACTIFS","26 456","40.8","27 072","43.0","24 265","43.2","19 295","45.7","16 480","46.5","-14.6"
"TOTAL","64 916","100.0","62 904","100.0","56 190","100.0","42 265","100.0","35 440","100.0","-16.1"
