"3ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","29 692","100.0","29 296","100.0","28 058","100.0","24 625","100.0","23 512","100.0","24 933","100.0","25 677","100.0","6.0","3.0"
"Résidences principales","29 207","98.4","28 415","97.0","26 309","93.8","21 610","87.8","19 484","82.9","19 592","78.6","19 349","75.4","0.6","-1.2"
"Logements vacants (1)","180","0.6","485","1.7","946","3.4","2 480","10.1","3 096","13.2","3 401","13.6","4 493","17.5","9.9","32.1"
"Résidences secondaires","255","0.9","396","1.4","803","2.9","535","2.2","932","4.0","499","2.0","899","3.5","-46.5","80.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","1 441","5.8","936","3.6","","-35.0"
"Autres","50","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","29 207","100.0","28 415","100.0","26 309","100.0","21 610","100.0","19 484","100.0","19 592","100.0","19 349","100.0","0.6","-1.2"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","25 341","85.4","27 451","96.6","24 976","94.9","19 800","91.6","16 100","82.6","17 061","87.1","16 776","86.7","6.0","-1.7"
". 1915 à 1948","625","2.1","849","3.0","1 215","4.6","1 360","6.3","1 900","9.8","932","4.8","978","5.1","-50.9","4.9"
". 1949 à 1981","8","0.0","115","0.4","118","0.4","450","2.1","1 484","7.6","1 163","5.9","923","4.8","-21.6","-20.6"
". 1982 à 1989","-","","-","","-","","-","","-","","436","2.2","357","1.8","","-18.1"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","315","1.6","",""
". Non déterminée","3 698","12.5","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","4 636","23.8","2 277","11.6","822","4.2","-50.9","-63.9"
". sans WC ou sans douche","-","","-","","-","","-","","3 376","17.3","2 116","10.8","1 494","7.7","-37.3","-29.4"
"Total sans confort","-","","-","","-","","-","","8 012","41.1","4 393","22.4","2 316","12.0","-45.2","-47.3"
". WC et douche, sans chauffage central","-","","-","","-","","-","","5 008","25.7","4 172","21.3","1 698","8.8","-16.7","-59.3"
". WC et douche, avec chauffage central","-","","-","","-","","-","","6 464","33.2","11 027","56.3","15 335","79.3","70.6","39.1"
"Total confort","-","","-","","-","","-","","11 472","58.9","15 199","77.6","17 033","88.0","32.5","12.1"
"Avec WC intérieurs","8 299","28.4","8 857","31.2","9 032","34.3","11 260","52.1","12 944","66.4","16 113","82.2","17 454","90.2","24.5","8.3"
"Avec baignoire ou douche","2 947","10.1","4 986","17.5","7 189","27.3","11 185","51.8","13 408","68.8","16 401","83.7","18 106","93.6","22.3","10.4"
