"Quartier 11","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"ARCHIVES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","6 819","100.0","6 114","100.0","5 200","100.0","4 880","100.0","4 927","100.0","4 728","100.0","1.0","-4.0"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","2 244","32.9","2 234","36.5","2 430","46.7","2 680","54.9","2 700","54.8","2 550","53.9","0.7","-5.6"
". 2 personnes","","-","","2 206","32.4","1 918","31.4","1 440","27.7","1 152","23.6","1 196","24.3","1 286","27.2","3.8","7.5"
". 3 personnes","","-","","1 209","17.7","1 020","16.7","725","13.9","520","10.7","516","10.5","426","9.0","-0.8","-17.4"
". 4 personnes","","-","","680","10.0","557","9.1","390","7.5","360","7.4","355","7.2","309","6.5","-1.4","-13.0"
". 5 personnes et plus","","-","","480","7.0","385","6.3","215","4.1","168","3.4","160","3.2","157","3.3","-4.8","-1.9"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","4 761","77.9","4 275","82.2","4 112","84.3","4 123","83.7","3 964","83.8","0.3","-3.9"
". 1 enfant","","-","","-","","790","12.9","545","10.5","444","9.1","436","8.8","411","8.7","-1.8","-5.7"
". 2 enfants","","-","","-","","377","6.2","260","5.0","256","5.2","280","5.7","247","5.2","9.4","-11.8"
". 3 enfants ou plus","","-","","-","","186","3.0","120","2.3","68","1.4","88","1.8","106","2.2","29.4","20.5"
"POPULATION DES MÉNAGES","","16 332","","15 790","","13 546","","10 225","","8 892","","8 923","","8 505","","0.3","-4.7"
"Taille moyenne des ménages","","0.00","","2.32","","2.22","","1.97","","1.82","","1.81","","1.80","","-0.6","-0.7"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
