"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","29 207","100.0","28 415","100.0","26 309","100.0","21 610","100.0","19 484","100.0","19 592","100.0","19 349","100.0","0.6","-1.2"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","10 973","37.6","11 714","41.2","10 524","40.0","7 530","34.8","6 544","33.6","6 116","31.2","5 777","29.9","-6.5","-5.5"
". 2 pièces","9 460","32.4","9 516","33.5","8 697","33.1","7 335","33.9","6 536","33.5","6 424","32.8","6 280","32.5","-1.7","-2.2"
". 3 pièces","4 670","16.0","4 594","16.2","4 456","16.9","4 035","18.7","3 672","18.8","3 905","19.9","3 872","20.0","6.3","-0.8"
". 4 pièces","2 695","9.2","1 561","5.5","1 586","6.0","1 630","7.5","1 636","8.4","1 930","9.9","1 930","10.0","18.0","0.0"
". 5 pièces et plus","","","1 030","3.6","1 046","4.0","1 080","5.0","1 096","5.6","1 217","6.2","1 490","7.7","11.0","22.4"
". Non déterminée","1 409","4.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","24 021","84.5","21 922","83.3","19 200","88.8","18 160","93.2","18 827","96.1","18 714","96.7","3.7","-0.6"
". Chambre d'hôtel meublé","-","","3 407","12.0","2 735","10.4","1 465","6.8","812","4.2","208","1.1","147","0.8","-74.4","-29.3"
". Pièce indépendante louée ou prêtée","-","","946","3.3","1 552","5.9","945","4.4","376","1.9","549","2.8","485","2.5","46.0","-11.7"
". Construction provisoire,hab. de fortune","-","","41","0.1","100","0.4","0","","12","0.1","8","0.0","3","0.0","-33.3","-62.5"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","2 015","6.9","4 463","15.7","4 917","18.7","5 180","24.0","4 704","24.1","6 156","31.4","6 173","31.9","30.9","0.3"
". Locataire","27 192","93.1","21 306","75.0","18 829","71.6","14 445","66.8","12 600","64.7","11 281","57.6","11 423","59.0","-10.5","1.3"
"d'un local loué vide HLM","-","","-","","-","","-","","308","1.6","469","2.4","817","4.2","52.3","74.2"
"d'un local loué vide non HLM","-","","-","","-","","-","","10 916","56.0","10 018","51.1","9 447","48.8","-8.2","-5.7"
"d'un local loué meublé","-","","-","","-","","-","","1 376","7.1","794","4.1","1 159","6.0","-42.3","46.0"
". Logé gratuitement","-","","2 646","9.3","2 563","9.7","1 985","9.2","2 180","11.2","2 155","11.0","1 753","9.1","-1.1","-18.7"
