"3ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","29 207","100.0","28 415","100.0","26 247","100.0","21 610","100.0","19 484","100.0","19 592","100.0","19 349","100.0","0.6","-1.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","10 167","34.8","10 564","37.2","10 380","39.5","10 325","47.8","10 560","54.2","11 035","56.3","10 918","56.4","4.5","-1.1"
". 2 personnes","9 678","33.1","8 982","31.6","8 199","31.2","6 050","28.0","4 892","25.1","4 771","24.4","4 934","25.5","-2.5","3.4"
". 3 personnes","4 932","16.9","4 635","16.3","3 993","15.2","2 805","13.0","2 044","10.5","1 826","9.3","1 732","9.0","-10.7","-5.1"
". 4 personnes","2 632","9.0","2 471","8.7","2 195","8.4","1 510","7.0","1 316","6.8","1 267","6.5","1 177","6.1","-3.7","-7.1"
". 5 personnes et plus","1 798","6.2","1 763","6.2","1 480","5.6","920","4.3","672","3.4","693","3.5","588","3.0","3.1","-15.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","20 830","79.4","17 810","82.4","16 492","84.6","16 576","84.6","16 497","85.3","0.5","-0.5"
". 1 enfant","-","","-","","3 197","12.2","2 205","10.2","1 748","9.0","1 673","8.5","1 618","8.4","-4.3","-3.3"
". 2 enfants","-","","-","","1 478","5.6","1 060","4.9","924","4.7","966","4.9","903","4.7","4.5","-6.5"
". 3 enfants ou plus","-","","-","","742","2.8","535","2.5","320","1.6","377","1.9","331","1.7","17.8","-12.2"
"POPULATION DES MÉNAGES","64 783","","62 574","","56 130","","42 070","","35 488","","34 944","","33 929","","-1.5","-2.9"
"Taille moyenne des ménages","2.22","","2.20","","2.14","","1.95","","1.82","","1.78","","1.75","","-2.1","-1.7"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
