"Quartier 10","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"ENFANTS ROUGES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","7 144","100.0","6 766","100.0","5 520","100.0","5 052","100.0","4 955","100.0","4 816","100.0","-1.9","-2.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","2 617","36.6","2 674","39.5","2 630","47.6","2 664","52.7","2 791","56.3","2 682","55.7","4.8","-3.9"
". 2 personnes","","-","","2 290","32.1","2 117","31.3","1 495","27.1","1 432","28.3","1 243","25.1","1 266","26.3","-13.2","1.9"
". 3 personnes","","-","","1 160","16.2","1 005","14.9","760","13.8","480","9.5","441","8.9","433","9.0","-8.1","-1.8"
". 4 personnes","","-","","608","8.5","569","8.4","360","6.5","300","5.9","309","6.2","291","6.0","3.0","-5.8"
". 5 personnes et plus","","-","","469","6.6","401","5.9","275","5.0","176","3.5","171","3.5","144","3.0","-2.8","-15.8"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","5 373","79.4","4 505","81.6","4 360","86.3","4 218","85.1","4 099","85.1","-3.3","-2.8"
". 1 enfant","","-","","-","","819","12.1","635","11.5","408","8.1","421","8.5","411","8.5","3.2","-2.4"
". 2 enfants","","-","","-","","383","5.7","240","4.3","200","4.0","230","4.6","223","4.6","15.0","-3.0"
". 3 enfants ou plus","","-","","-","","191","2.8","140","2.5","84","1.7","86","1.7","83","1.7","2.4","-3.5"
"POPULATION DES MÉNAGES","","16 226","","15 822","","14 501","","10 905","","9 160","","8 761","","8 463","","-4.4","-3.4"
"Taille moyenne des ménages","","0.00","","2.21","","2.14","","1.98","","1.81","","1.77","","1.76","","-2.5","-0.6"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
