"Quartier 9","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"ARTS ET METIERS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","8 169","100.0","7 751","100.0","6 395","100.0","5 460","100.0","5 212","100.0","5 367","100.0","-4.5","3.0"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","3 317","40.6","3 151","40.7","3 055","47.8","2 924","53.6","2 859","54.9","3 064","57.1","-2.2","7.2"
". 2 personnes","","-","","2 509","30.7","2 467","31.8","1 880","29.4","1 304","23.9","1 284","24.6","1 285","23.9","-1.5","0.1"
". 3 personnes","","-","","1 279","15.7","1 148","14.8","770","12.0","660","12.1","519","10.0","497","9.3","-21.4","-4.2"
". 4 personnes","","-","","633","7.7","617","8.0","420","6.6","380","7.0","330","6.3","350","6.5","-13.2","6.1"
". 5 personnes et plus","","-","","431","5.3","368","4.7","270","4.2","192","3.5","220","4.2","171","3.2","14.6","-22.3"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","6 259","80.8","5 335","83.4","4 568","83.7","4 358","83.6","4 578","85.3","-4.6","5.0"
". 1 enfant","","-","","-","","904","11.7","540","8.4","524","9.6","470","9.0","438","8.2","-10.3","-6.8"
". 2 enfants","","-","","-","","397","5.1","335","5.2","256","4.7","251","4.8","267","5.0","-2.0","6.4"
". 3 enfants ou plus","","-","","-","","191","2.5","185","2.9","112","2.1","133","2.6","84","1.6","18.8","-36.8"
