"Quartier 12","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT AVOYE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 610","11.2","1 100","8.0","796","6.7","460","5.4","360","5.2","-21.7"
"Professions libérales et cadres supérieurs","218","1.5","273","2.0","296","2.5","410","4.8","560","8.0","36.6"
"Cadres moyens","595","4.1","661","4.8","667","5.6","550","6.4","580","8.3","5.5"
"Employés","1 779","12.4","1 880","13.6","1 454","12.2","1 085","12.6","1 000","14.4","-7.8"
"Ouvriers","3 294","22.9","2 922","21.1","2 615","22.0","1 335","15.5","800","11.5","-40.1"
"Personnel de service","1 018","7.1","953","6.9","764","6.4","565","6.6","260","3.7","-54.0"
"Autres actifs (2)","121","0.8","131","0.9","112","0.9","125","1.5","180","2.6","44.0"
"ACTIFS","8 635","60.0","7 920","57.3","6 704","56.4","4 530","52.7","3 740","53.7","-17.4"
"Enfants de moins de 15 ans","2 275","15.8","2 214","16.0","1 740","14.6","1 095","12.7","864","12.4","-21.1"
"Retraités","781","5.4","991","7.2","1 197","10.1","1 405","16.4","1 108","15.9","-21.1"
"Autres sans activité professionnelle","2 693","18.7","2 695","19.5","2 256","19.0","1 560","18.2","1 248","17.9","-20.0"
"INACTIFS","5 749","40.0","5 900","42.7","5 193","43.6","4 060","47.3","3 220","46.3","-20.7"
"TOTAL","14 384","100.0","13 820","100.0","11 897","100.0","8 590","100.0","6 960","100.0","-19.0"
