"Quartier 11","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ARCHIVES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 581","9.7","1 162","7.3","885","6.5","575","5.6","400","4.4","-30.4"
"Professions libérales et cadres supérieurs","395","2.4","560","3.5","543","4.0","850","8.3","1 000","11.1","17.6"
"Cadres moyens","890","5.4","952","6.0","963","7.1","800","7.8","980","10.9","22.5"
"Employés","2 021","12.3","2 064","13.0","1 711","12.6","1 160","11.3","1 260","14.0","8.6"
"Ouvriers","3 135","19.1","2 748","17.3","2 196","16.2","1 460","14.2","700","7.8","-52.1"
"Personnel de service","1 054","6.4","938","5.9","879","6.5","560","5.4","440","4.9","-21.4"
"Autres actifs (2)","256","1.6","290","1.8","247","1.8","205","2.0","180","2.0","-12.2"
"ACTIFS","9 332","57.0","8 714","54.8","7 424","54.8","5 610","54.5","4 960","55.0","-11.6"
"Enfants de moins de 15 ans","2 727","16.7","2 609","16.4","1 922","14.2","1 300","12.6","1 024","11.4","-21.2"
"Retraités","975","6.0","1 299","8.2","1 507","11.1","1 585","15.4","1 536","17.0","-3.1"
"Autres sans activité professionnelle","3 340","20.4","3 289","20.7","2 700","19.9","1 790","17.4","1 500","16.6","-16.2"
"INACTIFS","7 042","43.0","7 197","45.2","6 129","45.2","4 675","45.5","4 060","45.0","-13.2"
"TOTAL","16 374","100.0","15 911","100.0","13 553","100.0","10 285","100.0","9 020","100.0","-12.3"
