"2ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","20 807","100.0","19 773","100.0","17 114","100.0","13 850","100.0","12 084","100.0","11 710","100.0","11 488","100.0","-3.1","-1.9"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","8 370","40.2","8 508","43.0","7 386","43.2","6 675","48.2","6 856","56.7","6 554","56.0","6 748","58.7","-4.4","3.0"
". 2 personnes","6 517","31.3","5 937","30.0","5 192","30.3","4 180","30.2","3 000","24.8","2 981","25.5","2 822","24.6","-0.6","-5.3"
". 3 personnes","3 201","15.4","2 846","14.4","2 438","14.2","1 740","12.6","1 108","9.2","1 159","9.9","968","8.4","4.6","-16.5"
". 4 personnes","1 645","7.9","1 454","7.4","1 286","7.5","800","5.8","744","6.2","659","5.6","641","5.6","-11.4","-2.7"
". 5 personnes et plus","1 074","5.2","1 028","5.2","812","4.7","455","3.3","376","3.1","357","3.0","309","2.7","-5.1","-13.4"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","13 845","80.9","11 660","84.2","10 392","86.0","10 048","85.8","9 880","86.0","-3.3","-1.7"
". 1 enfant","-","","-","","1 958","11.4","1 425","10.3","884","7.3","981","8.4","932","8.1","11.0","-5.0"
". 2 enfants","-","","-","","917","5.4","500","3.6","592","4.9","471","4.0","513","4.5","-20.4","8.9"
". 3 enfants ou plus","-","","-","","394","2.3","265","1.9","216","1.8","210","1.8","163","1.4","-2.8","-22.4"
"POPULATION DES MÉNAGES","43 530","","40 648","","34 869","","25 980","","21 288","","20 568","","19 530","","-3.4","-5.0"
"Taille moyenne des ménages","2.09","","2.06","","2.04","","1.88","","1.76","","1.76","","1.70","","-0.3","-3.2"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
