"12ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","10 236","6.7","8 151","5.0","7 103","4.5","5 140","3.7","4 960","3.6","-3.5"
"Professions libérales et cadres supérieurs","5 681","3.7","7 134","4.4","8 249","5.3","10 915","7.8","11 660","8.4","6.8"
"Cadres moyens","10 204","6.7","12 305","7.6","14 207","9.1","13 510","9.6","14 980","10.8","10.9"
"Employés","20 365","13.3","21 527","13.3","20 824","13.3","20 050","14.3","20 020","14.4","-0.1"
"Ouvriers","27 685","18.1","26 158","16.2","21 956","14.1","16 175","11.5","13 280","9.6","-17.9"
"Personnel de service","7 908","5.2","8 112","5.0","7 788","5.0","6 975","5.0","6 780","4.9","-2.8"
"Autres actifs (2)","2 125","1.4","2 231","1.4","1 853","1.2","1 645","1.2","1 460","1.1","-11.2"
"ACTIFS","84 204","54.9","85 618","52.9","81 980","52.5","74 410","52.9","73 140","52.8","-1.7"
"Enfants de moins de 15 ans","25 709","16.8","26 556","16.4","22 490","14.4","18 320","13.0","17 520","12.6","-4.4"
"Retraités","10 543","6.9","14 194","8.8","17 510","11.2","20 650","14.7","22 792","16.4","10.4"
"Autres sans activité professionnelle","32 813","21.4","35 392","21.9","34 196","21.9","27 185","19.3","25 128","18.1","-7.6"
"INACTIFS","69 065","45.1","76 142","47.1","74 196","47.5","66 155","47.1","65 440","47.2","-1.1"
"TOTAL","153 269","100.0","161 760","100.0","156 176","100.0","140 565","100.0","138 580","100.0","-1.4"
