"Quartier 47","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"BERCY","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","506","5.1","435","4.3","381","4.2","225","2.9","140","1.8","-37.8"
"Professions libérales et cadres supérieurs","256","2.6","364","3.6","368","4.0","475","6.2","480","6.2","1.1"
"Cadres moyens","525","5.3","635","6.3","694","7.6","645","8.4","760","9.8","17.8"
"Employés","1 554","15.7","1 522","15.0","1 476","16.2","1 425","18.6","1 020","13.1","-28.4"
"Ouvriers","2 105","21.2","2 000","19.7","1 495","16.4","1 100","14.4","1 080","13.9","-1.8"
"Personnel de service","412","4.2","515","5.1","466","5.1","315","4.1","500","6.4","58.7"
"Autres actifs (2)","116","1.2","116","1.1","69","0.8","65","0.8","60","0.8","-7.7"
"ACTIFS","5 474","55.2","5 587","55.1","4 949","54.3","4 250","55.5","4 040","52.1","-4.9"
"Enfants de moins de 15 ans","1 749","17.6","1 668","16.5","1 304","14.3","970","12.7","1 116","14.4","15.1"
"Retraités","636","6.4","794","7.8","963","10.6","1 100","14.4","1 184","15.3","7.6"
"Autres sans activité professionnelle","2 053","20.7","2 084","20.6","1 893","20.8","1 335","17.4","1 420","18.3","6.4"
"INACTIFS","4 438","44.8","4 546","44.9","4 160","45.7","3 405","44.5","3 720","47.9","9.3"
"TOTAL","9 912","100.0","10 133","100.0","9 109","100.0","7 655","100.0","7 760","100.0","1.4"
