"Quartier 47","1982","","1990","","1999","","","évolution en %"
"BERCY","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","228","2.8","248","3.0","300","2.1","8.8","21.0"
"Cadres, professions intellectuelles supérieures","680","8.2","1 052","12.8","2 412","16.9","54.7","129.3"
"Professions intermédiaires","816","9.9","1 104","13.4","2 152","15.1","35.3","94.9"
"Employés","1 764","21.4","1 428","17.4","2 184","15.3","-19.0","52.9"
"Ouvriers","952","11.5","772","9.4","904","6.3","-18.9","17.1"
"Autres actifs (1)","72","0.9","56","0.7","64","0.4","-22.2","14.3"
"ACTIFS","4 512","54.7","4 660","56.7","8 016","56.3","3.3","72.0"
"Enfants  de moins de 15 ans","1 116","13.5","1 148","14.0","2 852","20.0","2.9","148.4"
"Retraités","1 184","14.3","1 072","13.0","1 304","9.2","-9.5","21.6"
"Autres sans activité professionnelle","1 440","17.5","1 344","16.3","2 068","14.5","-6.7","53.9"
"INACTIFS","3 740","45.3","3 564","43.3","6 224","43.7","-4.7","74.6"
"TOTAL","8 252","100.0","8 224","100.0","14 240","100.0","-0.3","73.2"
