"SECTEUR SECONDAIRE (2)","","24 444
30.5","21 035
23.4","16 900
18.9","14 972
15.5","7 892","7.0","-11.4","-47.3"
"dont","Industrie","17 000
21.2","13 580
15.1","11 972
13.4","10 560","11.0   
-","","-11.8",""
"",". Industrie agro-alimentaire","-","1 165
1.3","936
1.0","732","0.8   
-","","-21.8",""
"",". Production et distribution d'énergie","-","490
0.5","1 168
1.3","916","0.9   
-","","-21.6",""
"",". Industrie des biens intermédiaires","-","2 270
2.5","1 592
1.8","1 104","1.1   
-","","-30.7",""
"",". Industrie des biens d'équipements","-","3 200
3.6","2 956
3.3","2 444","2.5   
-","","-17.3",""
"",". Industries des biens de consommations courantes","-","6 455
7.2","5 320
5.9","5 364","5.6   
-","","0.8",""
"","Bâtiment et génie civil","7 444
9.3","7 455
8.3","4 928
5.5","4 412","4.6   
-","","-10.5",""
"dont","Industrie","-","-","-","-","4 455","4.0","",""
"","Energie","-","-","-","-","494","0.4","",""
"","Construction","-","-","-","-","2 943","2.6","",""
"SECTEUR TERTIAIRE","","55 492
69.2","68 720
76.5","72 312
80.8","81 228
84.2","104 092","92.7","12.3","28.1"
"dont","Commerce","12 224
15.2","11 015
12.3","10 196
11.4","8 252","8.6   
9 455","8.4","-19.1","14.6"
"","Transports et télécommunications","-","17 870
19.9","16 456
18.4","14 472","15.0","","-12.1",""
"","Services marchands","-","20 655
23.0","25 576
28.6","33 308","34.5","","30.2",""
"","Location et crédit bail immobilier","-","65
0.1","196
0.2","176","0.2","","-10.2",""
"","Assurances","-","1 220
1.4","860
1.0","1 020","1.1","","18.6",""
"","Organismes financiers","-","2 570
2.9","2 444
2.7","3 148","3.3","","28.8",""
"","Services non marchands","-","15 325
17.1","16 584
18.5","20 852","21.6","","25.7",""
"dont","Transports","-","-","-","-","14 028","12.5","",""
"","Activités immobilières","-","-","-","-","1 989","1.8","",""
"","Activités financières","-","-","-","-","5 940","5.3","",""
"","Services aux entreprises","-","-","-","-","21 276","18.9","",""
"","Services aux particuliers","-","-","-","-","14 326","12.8","",""
"","Education","-","-","-","-","16 852","15.0","",""
"","Administration","-","-","-","-","20 226","18.0","",""
"TOTAL DES EMPLOIS EXERCÉS","","80 188
100.0","89 810
100.0","89 492
100.0","96 428
100.0","112 336","100.0","7.8","16.5"
