"9ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","9 884","9.7","7 002","7.4","5 687","6.7","3 600","5.1","3 460","5.3","-3.9"
"Professions libérales et cadres supérieurs","5 341","5.2","5 559","5.9","4 975","5.9","5 355","7.6","6 000","9.2","12.0"
"Cadres moyens","6 973","6.9","6 715","7.1","6 796","8.0","5 380","7.7","5 540","8.5","3.0"
"Employés","13 366","13.1","12 727","13.5","10 645","12.5","9 575","13.6","8 540","13.2","-10.8"
"Ouvriers","11 170","11.0","9 865","10.5","8 654","10.2","6 760","9.6","5 480","8.4","-18.9"
"Personnel de service","9 046","8.9","7 939","8.4","7 123","8.4","5 375","7.7","4 100","6.3","-23.7"
"Autres actifs (2)","2 406","2.4","1 975","2.1","1 506","1.8","1 250","1.8","1 400","2.2","12.0"
"ACTIFS","58 186","57.2","51 782","55.0","45 386","53.5","37 295","53.1","34 520","53.2","-7.4"
"Enfants de moins de 15 ans","14 355","14.1","12 259","13.0","9 995","11.8","8 135","11.6","7 552","11.6","-7.2"
"Retraités","6 211","6.1","7 957","8.4","9 109","10.7","9 890","14.1","10 116","15.6","2.3"
"Autres sans activité professionnelle","23 041","22.6","22 184","23.6","20 402","24.0","14 860","21.2","12 752","19.6","-14.2"
"INACTIFS","43 607","42.8","42 400","45.0","39 506","46.5","32 885","46.9","30 420","46.8","-7.5"
"TOTAL","101 793","100.0","94 182","100.0","84 892","100.0","70 180","100.0","64 940","100.0","-7.5"
