"SECTEUR SECONDAIRE (2)","","29 296
18.0","25 790
15.2","19 624
12.7","14 900
10.4","8 620","7.7","-24.1","-42.1"
"dont","Industrie","22 888
14.0","20 525
12.1","16 424
10.7","12 360","8.6   
-","","-24.7",""
"",". Industrie agro-alimentaire","-","650
0.4","900
0.6","660","0.5   
-","","-26.7",""
"",". Production et distribution d'énergie","-","2 875
1.7","2 520
1.6","1 456","1.0   
-","","-42.2",""
"",". Industrie des biens intermédiaires","-","2 900
1.7","1 516
1.0","640","0.4   
-","","-57.8",""
"",". Industrie des biens d'équipements","-","2 605
1.5","1 728
1.1","1 332","0.9   
-","","-22.9",""
"",". Industries des biens de consommations courantes","-","11 495
6.8","9 760
6.3","8 272","5.8   
-","","-15.2",""
"","Bâtiment et génie civil","6 408
3.9","5 265
3.1","3 200
2.1","2 540","1.8   
-","","-20.6",""
"dont","Industrie","-","-","-","-","5 573","5.0","",""
"","Energie","-","-","-","-","1 312","1.2","",""
"","Construction","-","-","-","-","1 735","1.5","",""
"SECTEUR TERTIAIRE","","133 372
81.8","143 925
84.8","134 388
87.2","128 112
89.5","103 235","92.2","-4.7","-19.4"
"dont","Commerce","22 828
14.0","25 225
14.9","20 504
13.3","18 052","12.6   
14 267","12.7","-12.0","-21.0"
"","Transports et télécommunications","-","11 265
6.6","10 288
6.7","9 436","6.6","","-8.3",""
"","Services marchands","-","35 625
21.0","36 968
24.0","44 440","31.1","","20.2",""
"","Location et crédit bail immobilier","-","290
0.2","316
0.2","280","0.2","","-11.4",""
"","Assurances","-","24 960
14.7","23 484
15.2","16 932","11.8","","-27.9",""
"","Organismes financiers","-","27 485
16.2","27 532
17.9","25 764","18.0","","-6.4",""
"","Services non marchands","-","19 075
11.2","15 296
9.9","13 208","9.2","","-13.7",""
"dont","Transports","-","-","-","-","10 053","9.0","",""
"","Activités immobilières","-","-","-","-","2 799","2.5","",""
"","Activités financières","-","-","-","-","29 590","26.4","",""
"","Services aux entreprises","-","-","-","-","21 331","19.1","",""
"","Services aux particuliers","-","-","-","-","11 201","10.0","",""
"","Education","-","-","-","-","6 538","5.8","",""
"","Administration","-","-","-","-","7 456","6.7","",""
"TOTAL DES EMPLOIS EXERCÉS","","163 000
100.0","169 775
100.0","154 052
100.0","143 096
100.0","111 939","100.0","-7.1","-21.8"
