"","","","","","","10"
"dep","com","ville","hommes","femmes","j.filles","total"
"78","638","vaux
seine
sur","1","","",""
"78","640","i zy
vel","12","","",""
"78","642","verneuil
sur
seine","3","","",""
"78","643","vernouillet","3","","",""
"78","644","la
verriere","1","","",""
"78","646","versailles","95","","",""
"78","650","le
vesinet","24","","",""
"78","674","villepreux","5","","",""
"78","686","viroflay","25","","",""
"","","","617","","",""
"80","021","amiens","5","","",""
"80","212","corbie","1","","",""
"80","274","eppeville
ham","1","","",""
"80","410","ham","1","","",""
"80","533","mers
les
bains","1","","",""
"83","137","toulon","1*","","",""
"","","","1*","","",""
"84","073","menerbes","1*","","",""
"84","087","orange","1*","","",""
"","","","2*","","",""
"85","191","la
roche
s
yon","1*","","",""
"","","","1*","","",""
"86","066","chatellerault","2*","","",""
"86","194","poitiers","3*","","",""
