"78","644","la
verriere","","1"
"78","646","versailles","","95"
"78","650","le
vesinet","","24"
"78","674","villepreux","","5"
"78","686","viroflay","","25"
"","","","","617"
"80","021","amiens","","5"
"80","212","corbie","","1"
"80","274","eppeville
ham","","1"
"80","410","ham","","1"
"80","533","mers
les
bains","","1"
"83","137","toulon","","1*"
"","","","","1*"
"84","073","menerbes","","1*"
"84","087","orange","","1*"
"","","","","2*"
"85","191","la
roche
s
yon","","1*"
"","","","","1*"
"86","066","chatellerault","","2*"
"86","194","poitiers","","3*"
"88","160","imac
epi","","0-"
"","","","","0="
"89","318","les
quarre","tombes",""
"89","348","st
julien du","sault",""
"89","387","sens","","1 1 3 5"
"91","021","arpajon","","3"
"91","027","mons
athis","","2 1"
"91","036","gennevilliers","",""
"91","047","baulne
p
ferte","alais",""
"91","064","b i evres","","1 1 1 0"
"91","093","les
boullay","troux",""
"91","09 7","boussy
st","antoine","11"
"91","103","bretigny
sur","orge","17"
"91","114","brunoy","","23"
"91","115","le
bruyeres","chatel","3"
"91","122","yvette
bures
s","","13"
