"","","","","","","","7","-"
"DEP","COM","VILLE","","HOMMES","FEMMES","J. FILLES","TOTAL",""
"75","107","PARIS
7 E","","28 5*","25*","43*","353*",""
"75","108","PARIS
8 E","","22 3*","16*","28*","267*",""
"75","109","PARIS
9E","","18 5*","8*","29*","222*",""
"75","110","PARIS
10 E","","229*","17*","22*","268*",""
"75","111","PARIS
11 E","","28 7*","17*","30*","334*",""
"7 5","112","PARIS
1 2 E","","325*","20*","49*","394*",""
"75","113","PARIS
13E","","3 59*","32*","42*","433*",""
"75","114","PARIS
14E","","419*","46*","52*","517*",""
"75","115","PARIS
1 5 E","","6 5 2*","74*","90*","816*",""
"75","116","PARIS
16E","","715*","52*","108*","875*",""
"75","117","PARIS
17E","","574*","39*","91*","704*",""
"7 5","118","PARIS
18 E","","405*","44*","53*","502*",""
"75","119","PARIS
19E","","2 54*","22*","23*","299*",""
"7 5","120","PARIS
20E","","344*","36*","38*","418*",""
"7 5","646","VERSA ILLES","","1*","0*","0*","1*",""
"","","","","6 38 7*","552**","857**","7796**",""
"76","026","LA
ARQUES","BATAILLE","1 *","0*","0*","1*",""
"76","095","B IHOREL","","1*","0*","0*","1*",""
"76","108","GUILLAUME
BOIS","","2*","0*","0*","2*",""
"7 6","179","CLERES","","1*","0*","0*","1*",""
"76","212","DARNETAL","","1*","0*","0*","1*",""
"7 6","217","DIEPPE","","2 *","0*","0*","2*",""
"76","222","DUCLA IR","","0*","0*","1*","1*",""
"76","246","LES
ESSARTS
GD","COURO","1*","0*","0*","1*",""
"76","259","","","2*","0*","0*","2*",""
"","","FfCAMP","","","","","",""
"76","451","MONT
AIGNAN
ST","","2*","0*","0*","2*",""
"7 6","482","OFFRANVILLE","","1*","0*","0*","1*",""
"76","540","ROUEN","","6*","0*","0*","6*",""
"76","552","SAINTE
ADRESSE","","1 *","0*","0*","1*",""
"","","","","21*","0**","1**","22**",""
"77","000","MARTIGNY","","1*","0*","0*","1*",""
"77","001","ADHERES
LA
FORET","","0*","1*","0*","1*",""
"77","014","AVON","","4*","1*","0*","5*",""
"77","022","BARRI ZON","","0*","1*","0*","1*",""
"77","037","BOIS
LE
ROI","","0*","1*","0*","1*",""
"77","053","COMTE
BRIE","ROBERT","2*","0*","0*","2*",""
"77","055","BROU
SUR","CHANTEREI NE","1*","0*","0*","1*",""
"77","063","LA
CELLE
S
MORIN","","1*","0*","0*","1*",""
"77","067","CESSON
NX
VILLAGE","","2*","0*","0*","2*",""
"77","079","CHAMPAGNE
SEINE","","1*","0*","0*","1*",""
"77","108","CHELLES","","16*","2*","0*","18*",""
"77","109","CHENOISE","","1*","0*","0*","1*",""
"77","118","CLAYE
SOUILLY","","1*","0*","0*","1*",""
"77","122","COMBS
LA
VILLE","","8*","0*","0*","8*",""
"7 7","131","COULOMMIERS","","0*","","o*","1*",""
"77","135","COURPALAY","","1*","0*","0*","1*",""
"7 7","139","COURTRY","","1*","0*","0*","1*",""
"77","152","LES
DAMMARIE
LYS","","3*","0*","0*","3*",""
"7 7","153","DAMMARTIN
EN","GOELE","1*","0*","0*","1*",""
