"","","","","","","","15","-"
"DEP","COM","VILLE","","","","","",""
"","","","","HORMIS","FEMMES","J.FILLES","TOTAL",""
"95","229","EZAMVILLE","","3*","1*","0*","4",""
"95","250","FOSSES","","1*","","","",""
"","","","","","1*","0*","2",""
"95","252","FRAMCONVILLE","","1 5*","0*","2*","17",""
"95","257","LA
FRETTE
S","SEINE","2*","0*","0*","2",""
"95","268","GARGES
LES","GOMESSE","","","","",""
"","","","","1#","2*","2*","23",""
"95","277","GONESSE","","","2*","1*","21",""
"","","","","18$","","","",""
"95","280","GOUSSAINVILLE","","6*","0*","0*","6",""
"95","288","GROSLAY","","","0*","0*","",""
"","","","","5*","","","5",""
"95","306","HERRLAY","","fi","","","",""
"","","","","","1*","1*","9",""
"95","313","L
ISLE
ADAM","","2*","0*","1*","3",""
"95","328","LABBEVILLE","","1*","0*","0*","1",""
"95","351","LOUVRES","","3*","0*","0*","3",""
"95","352","LUZARCHES","","ï*","0*","0*","1",""
"95","355","MAGNY
EN
VEXIN","","1*","0*","0*","1",""
"95","365","EN
MARE IL","FRANCE","0*","1*","0*","1",""
"95","392","MERIEL","","1*","0*","0*","1",""
"95","394","MERY
S
OISE","","1*","0*","0*","1",""
"9 5","42 4","MOKTIGNY
LES","CORME IL","4*","0*","0*","4",""
"95","427","MONTMAGNY","","1*","0*","0*","1",""
"95","428","MONTMORENCY","","19 Y","3*","2*","2.4",""
"95","476","0 S N Y","","2*","0*","0*","2",""
"95","488","PIERRELAYE","","","0*","0*","1",""
"95","491","PLESSIS
BOUCHARD","","m 2
*","0*","0*","2",""
"95","500","PONTOI SE","","1 1*","0*","0*","11",""
"95","504","PRESLES","","2-","0*","0*","2",""
"95","509","EN
PU I S EUX","FRANCE","1-","0*","0*","1",""
"95","527","EN
ROISSY","FRANCE","1-","0*","0*","1",""
"95","539","SAINT
BRICE","","10*","0*","1*","11",""
"95","555","SAINT
GRAT I EN","","31*","1*","0*","32",""
"95","563","ST
LEU
LA.
FORET","","6 *","0*","0*","6",""
"95","572","L
OUEN
ST","AUMONE","","","","",""
"","","","","2 §","0*","0*","2",""
"95","574","SAINT
PRIX","","0*","0*","1*","1",""
"95","582","S A N N 0I S","","1 1*","0*","1*","12",""
"95","585","SARCELLES","","5 0*","7*","0*","57",""
"95","598","S 0I S Y
S","MONTMORENCY","13*","0*","1*","14",""
"95","604","SURVILLIERS","","2*","0*","0*","2",""
"95","607","TAVERNY
AIR","","19*","0*","0*","19",""
"9 5","652","V I ARMES","","1*","0*","0*","1",""
"9 5","660","S
V T L LAINES","BOIS","2*","0*","0*","2",""
"95","680","LE
VILLIERS","BEL","12*","1*","0*","13",""
"","","","","43 5*","2 8**","2 3**","486",""
