"","","","","","","","14"
"DEP","COM","VILLE","","HOMMES","FEMMES","J.F ILLES","TOT A"
"94","0 22","C HO I S Y
ROI
LE","","36","24","44","42"
"94","028","CRETE IL","","4 1","2.4","24","45"
"94","033","FONTENAY
SOUS","BOIS","47","14","64","54"
"94","034","FRFSNES","","49","14","2 4","52"
"94","037","GENTILLY","","2 3","24","14","26"
"94","038","HAYE
LES
L","ROSES","25","24","14","28"
"94","041","I VR Y","","71","3 4","3 4","77"
"94","042","UOINVILLE
LE","PONT","25","34","24","30"
"94","043","KREMLIN
BICETRE","","2 1","24","2 4","25"
"9 4-","044","BREVANNES","","4","04","04","4"
"94","046","MAISONS
AL FORT","","59","3 4","44","6 6"
"94","047","MONT FERME IL","","2","04","04","2"
"94","049","NEUILLY","PLAISANCE","0","14","04","1"
"9 4","052","NOGENT","","41","74","24","50"
"94","054","ORLY","","18","14","04","19"
"94","055","ORMESSON","","1","04","04","1"
"94","058","LF
PERREUX","","30","44","14","35"
"94","059","PLFSSIS
TREVISE","","10","14","04","11"
"94","060","LA
EN
QUEUE","BRIE","3","04","04","3"
"94","065","RUNGI S","","7","04","14","8"
"94","067","MANDE
SAINT","","49","2 4","44","55"
"9 4","068","MAUR
SAINT","","1 12","94","114","132"
"94","069","SAINT
MAURICE","","12","04","14","13"
"94","071","EN
SUC Y
BRIE","","17","24","14","20"
"94","073","THIAIS","","25","44","2 4","31"
"","","","","6","04","04","6"
"94","074","VAL ENTON","","","","",""
"94","075","VILLECRESNES","","2","14","04","3"
"94","076","VILLEJUIF","","57","54","14","63"
"94","077","VILLENEUVE
LE","ROI","14","34","0 4","17"
"94","078","VILLEUVE
ST","GEORGES","18","04","04","18"
"94","079","VILLIERS
MARNE","","4","04","04","4"
"94","080","VINCENNES","","88","74","84","103"
"94","081","VITRY
S
SEINE","","76","44","3 4","83"
"","","","","1222","8944","774 4","1388"
"95","018","ARGENTEUIL","","44","2 4","64","52"
"95","019","ARNOUVILLE
L","GONESSE","6","04","14","7"
"95","039","AUVERS
SUR","OISE","1.","04","04","1"
"95","051","BEAUCHAMP","","3","04","04","3"
"95","055","BELL EFONTAI NE","","1","04","04","1"
"95","060","BESSANCOURT","","2","0 4","04","2"
"95","063","BFZGNS","","6","14","14","8"
"95","134","CHAMPAGNE
SUR","OISE","2","04","04","2"
"95","176","EN
CORME IL LES","PARI SI","1","04","14","2"
"95","19 7","DEUIL
LA
BARRE","","16","1.4","04","17"
"95","199","DOMONY","","4","04","0 4","4"
"95","203","EAUBONNE","","18","24","04","20"
"95","205","ECOUEN","","3","14","04","4"
"95","210","ENGHIEN","","14","1 4","14","16"
"95","218","ERAGNY","","1","04","04","1"
"95","219","ERMONT","","24","04","04","24"
