"","","","","","","","","11"
"DEP","COM","VILLE","","","HOMMES","FEMMES","J.FILLES","TOT A"
"91","129","CERMY","","","1*","0","0*","1"
"91","132","CHAMARANDE","","","0*","0","1*","1"
"91","156","CHEPTAINVILLE","","","2*","0","0*","2"
"91","161","CHILLY MAZARIN","","","","0","0 *","13"
"","","","","","13#","","",""
"91","174","CORBEIL","ESSONNES","","8*","0","0*","8"
"91","191","CROSNE","","","12*","0","0*","12"
"91","200","DOURDAN","","","1*","0","0 *","1"
"91","201","DRAVEIL","","","2 5*","0","4 *","29"
"91","215","EPINAY
SENART","","","2*","0","0*","2"
"91","216","EPINAY
SUR","ORGE","","9*","0","0 *","9"
"91","223","ETAHPES","","","3*","0","0*","3"
"91","22 5","ETIOLEES","","","2*","1","0*","3"
"91","226","ETRECHY","","","3*","1","0*","4"
"91","228","EVRY","","","9*","0","1*","10"
"91","232","LA
FERTE
AL A I S","","","1*","0","0*","1"
"91","272","GIF
S
YVETTE","","","31*","2","0*","33"
"91","275","GOMETZ
LE","CHA TEL","","1*","0","0*","1"
"91","28 6","GR IGNY","","","3*","0","0*","3"
"91","312","IGNY","","","6*","0","0*","6"
"91","326","JUVISY","","","9*","0","0*","9"
"91","330","LARDY","","","3*","1","1*","5"
"91","338","LINOURS","","","1*","0","0 *","1"
"91","339","LINAS","MONTLHERY","","2*","1","0 *","3"
"91","345","LONGJUNEAU","","","13*","2","1*","16"
"91","363","MARCOUSSI S","","","2*","0","0 *","2"
"91","376","MAROLLES
EN","HUREPOIX","","3*","0","0 *","3"
"91","377","NAS S Y","","","40*","2","0 *","42"
"91","38 6","MENNECY","","","2*","0","0*","2"
"91","421","NONTGERON","","","21*","2","5*","28"
"91","425","NONTLHERY","","","1*","0","0*","1"
"91","432","NORANGIS","","","2*","1","0*","3"
"91","434","NORSANG
SUR","ORGE","","6*","0","1*","7"
"91","457","LA
NORVILLE","ARPAJOM","","2*","0","0*","2"
"91","468","ORMOY
PAR","MENNECY","","1*","0","0 *","1"
"91","471","ORSAY","","","2 3*","1","3*","27"
"91","477","PALA I S EAU","","","21*","1","1*","2 3"
"91","479","PARAY
VIEILLE","POSTE","","1*","0","0 *","1"
"91","514","QUINCY
SOUS","SENART","","7*","0","0*","7"
"91","521","RIS
ORANGIS","","","2 0*","0","0*","20"
"91","534","LE
VAL
D","ALBIAN","","1*","0","0*","1"
"91","540","SAINT
CHERON","","","2*","0","0*","2"
"91","549","STE
GENEVIEVE","D","BOIS","25*","3","0 *","28"
"91","552","ST
GERNAIN","LES","ARPAJ","1*","0","0*","1"
"91","553","ST
GERMAIN","CORBEIL","","1*","0","0*","1"
"91","570","ST
ORGE
MICHEL","","","17*","0","0*","17"
"91","577","SAINTRY
SEINE","","","1*","0","0*","1"
"91","578","ST
DE
SULPICE","FAVIER","","1*","0","0 *","1"
"91","579","VRAIN
SAINT","","","1*","0","0*","1"
"91","587","SAULX
LES","CHARTREUX","","1*","0","0*","1"
"91","589","SAVIGNY
S
ORGE","","","17*","2","3*","22"
"91","600","SOI SY
S/SEINE","","","1*","0","0*","1"
