"Quartier 28","1982","","1990","","1999","","","évolution en %"
"GROS CAILLOU","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","1 324","4.4","1 468","5.3","1 112","4.4","10.9","-24.3"
"Cadres, professions intellectuelles supérieures","4 556","15.2","5 268","18.9","5 596","22.3","15.6","6.2"
"Professions intermédiaires","2 564","8.6","2 432","8.7","2 316","9.2","-5.1","-4.8"
"Employés","4 324","14.4","3 200","11.5","2 441","9.7","-26.0","-23.7"
"Ouvriers","1 296","4.3","1 018","3.7","700","2.8","-21.5","-31.2"
"Autres actifs (1)","256","0.9","171","0.6","77","0.3","-33.2","-55.0"
"ACTIFS","14 320","47.8","13 557","48.7","12 242","48.9","-5.3","-9.7"
"Enfants  de moins de 15 ans","3 604","12.0","3 135","11.3","2 829","11.3","-13.0","-9.8"
"Retraités","4 544","15.2","4 652","16.7","4 480","17.9","2.4","-3.7"
"Autres sans activité professionnelle","7 464","24.9","6 504","23.4","5 494","21.9","-12.9","-15.5"
"INACTIFS","15 612","52.2","14 291","51.3","12 803","51.1","-8.5","-10.4"
"TOTAL","29 932","100.0","27 848","100.0","25 045","100.0","-7.0","-10.1"
