"Quartier 27","1982","","1990","","1999","","","évolution en %"
"ECOLE MILITAIRE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","472","3.2","432","3.0","516","4.0","-8.5","19.4"
"Cadres, professions intellectuelles supérieures","2 572","17.5","2 952","20.8","2 832","21.7","14.8","-4.1"
"Professions intermédiaires","1 232","8.4","1 156","8.1","1 004","7.7","-6.2","-13.1"
"Employés","1 952","13.3","1 504","10.6","1 328","10.2","-23.0","-11.7"
"Ouvriers","448","3.0","480","3.4","312","2.4","7.1","-35.0"
"Autres actifs (1)","124","0.8","72","0.5","60","0.5","-41.9","-16.7"
"ACTIFS","6 800","46.2","6 596","46.5","6 052","46.4","-3.0","-8.2"
"Enfants  de moins de 15 ans","1 856","12.6","1 864","13.1","1 512","11.6","0.4","-18.9"
"Retraités","1 908","13.0","2 004","14.1","2 192","16.8","5.0","9.4"
"Autres sans activité professionnelle","4 152","28.2","3 724","26.2","3 280","25.2","-10.3","-11.9"
"INACTIFS","7 916","53.8","7 592","53.5","6 984","53.6","-4.1","-8.0"
"TOTAL","14 716","100.0","14 188","100.0","13 036","100.0","-3.6","-8.1"
