"7ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","40 494","100.0","41 193","100.0","39 511","100.0","38 470","100.0","38 824","100.0","39 833","100.0","37 859","100.0","2.6","-5.0"
"Résidences principales","39 390","97.3","39 609","96.2","37 141","94.0","34 690","90.2","33 688","86.8","31 977","80.3","30 200","79.8","-5.1","-5.6"
"Logements vacants (1)","244","0.6","456","1.1","969","2.5","2 300","6.0","2 456","6.3","3 687","9.3","3 706","9.8","50.1","0.5"
"Résidences secondaires","767","1.9","1 128","2.7","1 401","3.5","1 480","3.8","2 680","6.9","1 289","3.2","2 192","5.8","-51.9","70.1"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 880","7.2","1 761","4.7","","-38.9"
"Autres","93","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","39 390","100.0","39 609","100.0","37 141","100.0","34 690","100.0","33 688","100.0","31 977","100.0","30 200","100.0","-5.1","-5.6"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","30 958","77.0","32 192","81.3","28 578","76.9","25 225","72.7","23 372","69.4","23 477","73.4","21 709","71.9","0.4","-7.5"
". 1915 à 1948","4 465","11.1","6 243","15.8","6 745","18.2","6 435","18.6","6 508","19.3","4 739","14.8","4 589","15.2","-27.2","-3.2"
". 1949 à 1981","170","0.4","1 174","3.0","1 818","4.9","3 030","8.7","3 808","11.3","3 573","11.2","3 556","11.8","-6.2","-0.5"
". 1982 à 1989","-","","-","","-","","-","","-","","188","0.6","186","0.6","","-1.1"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","160","0.5","",""
". Non déterminée","4 605","11.5","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","4 428","13.1","2 961","9.3","1 266","4.2","-33.1","-57.2"
". sans WC ou sans douche","-","","-","","-","","-","","4 380","13.0","2 957","9.2","2 364","7.8","-32.5","-20.1"
"Total sans confort","-","","-","","-","","-","","8 808","26.1","5 918","18.5","3 630","12.0","-32.8","-38.7"
". WC et douche, sans chauffage central","-","","-","","-","","-","","5 252","15.6","3 687","11.5","1 586","5.3","-29.8","-57.0"
". WC et douche, avec chauffage central","-","","-","","-","","-","","19 628","58.3","22 372","70.0","24 984","82.7","14.0","11.7"
"Total confort","-","","-","","-","","-","","24 880","73.9","26 059","81.5","26 570","88.0","4.7","2.0"
"Avec WC intérieurs","20 939","53.2","22 219","56.1","22 246","59.9","24 800","71.5","26 372","78.3","27 005","84.5","27 017","89.5","2.4","0.0"
"Avec baignoire ou douche","13 465","34.2","16 803","42.4","20 311","54.7","24 905","71.8","27 784","82.5","28 070","87.8","28 487","94.3","1.0","1.5"
