"5ème   arrondissement","1982","","1990","","1999","","","évolution en %"
"","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","2 276","3.7","2 452","4.0","1 960","3.3","7.7","-20.1"
"Cadres, professions intellectuelles supérieures","10 504","16.9","14 172","23.1","14 588","24.8","34.9","2.9"
"Professions intermédiaires","6 600","10.6","6 388","10.4","6 364","10.8","-3.2","-0.4"
"Employés","8 340","13.4","6 268","10.2","4 960","8.4","-24.8","-20.9"
"Ouvriers","3 028","4.9","2 245","3.7","1 260","2.1","-25.9","-43.9"
"Autres actifs (1)","376","0.6","255","0.4","294","0.5","-32.2","15.3"
"ACTIFS","31 124","50.1","31 780","51.9","29 426","50.0","2.1","-7.4"
"Enfants  de moins de 15 ans","7 224","11.6","6 769","11.1","6 489","11.0","-6.3","-4.1"
"Retraités","9 312","15.0","9 208","15.0","8 952","15.2","-1.1","-2.8"
"Autres sans activité professionnelle","14 468","23.3","13 466","22.0","13 997","23.8","-6.9","3.9"
"INACTIFS","31 004","49.9","29 443","48.1","29 438","50.0","-5.0","0.0"
"TOTAL","62 128","100.0","61 223","100.0","58 864","100.0","-1.5","-3.9"
