"5ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","46 339","100.0","43 300","100.0","39 326","100.0","34 200","100.0","33 128","100.0","33 337","100.0","33 119","100.0","0.6","-0.7"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","17 512","37.8","17 572","40.6","17 146","43.6","17 265","50.5","18 056","54.5","18 594","55.8","19 141","57.8","3.0","2.9"
". 2 personnes","14 095","30.4","12 811","29.6","11 447","29.1","9 340","27.3","8 356","25.2","8 455","25.4","8 265","25.0","1.2","-2.2"
". 3 personnes","7 591","16.4","6 628","15.3","5 502","14.0","4 045","11.8","3 448","10.4","3 169","9.5","2 902","8.8","-8.1","-8.4"
". 4 personnes","3 956","8.5","3 564","8.2","3 096","7.9","2 180","6.4","2 248","6.8","2 157","6.5","1 980","6.0","-4.0","-8.2"
". 5 personnes et plus","3 185","6.9","2 725","6.3","2 135","5.4","1 370","4.0","1 020","3.1","962","2.9","831","2.5","-5.7","-13.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","31 893","81.1","28 760","84.1","27 872","84.1","28 498","85.5","28 501","86.1","2.2","0.0"
". 1 enfant","-","","-","","4 325","11.0","3 080","9.0","3 076","9.3","2 722","8.2","2 625","7.9","-11.5","-3.6"
". 2 enfants","-","","-","","2 190","5.6","1 650","4.8","1 664","5.0","1 583","4.7","1 514","4.6","-4.9","-4.4"
". 3 enfants ou plus","-","","-","","918","2.3","710","2.1","516","1.6","534","1.6","479","1.4","3.5","-10.3"
