"Quartier 19","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"VAL DE GRACE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 631","5.1","1 212","4.1","1 001","3.9","650","3.0","680","3.4","4.6"
"Professions libérales et cadres supérieurs","2 346","7.3","2 435","8.3","2 553","9.9","2 825","12.9","3 440","17.0","21.8"
"Cadres moyens","2 080","6.5","2 135","7.2","2 202","8.5","1 865","8.5","1 960","9.7","5.1"
"Employés","3 430","10.7","2 943","10.0","2 320","9.0","2 080","9.5","1 300","6.4","-37.5"
"Ouvriers","4 120","12.9","3 401","11.5","2 471","9.6","1 280","5.9","920","4.5","-28.1"
"Personnel de service","2 141","6.7","1 833","6.2","1 568","6.1","1 120","5.1","720","3.6","-35.7"
"Autres actifs (2)","864","2.7","714","2.4","579","2.2","550","2.5","500","2.5","-9.1"
"ACTIFS","16 612","52.0","14 673","49.8","12 694","49.1","10 370","47.4","9 520","47.0","-8.2"
"Enfants de moins de 15 ans","4 981","15.6","4 044","13.7","3 024","11.7","2 580","11.8","2 508","12.4","-2.8"
"Retraités","1 932","6.1","2 393","8.1","2 782","10.8","2 575","11.8","2 764","13.6","7.3"
"Autres sans activité professionnelle","8 405","26.3","8 356","28.4","7 366","28.5","6 350","29.0","5 468","27.0","-13.9"
"INACTIFS","15 318","48.0","14 793","50.2","13 172","50.9","11 505","52.6","10 740","53.0","-6.6"
"TOTAL","31 930","100.0","29 466","100.0","25 866","100.0","21 875","100.0","20 260","100.0","-7.4"
