"5ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","6 271","6.0","4 507","4.7","3 507","4.2","2 300","3.4","2 080","3.4","-9.6"
"Professions libérales et cadres supérieurs","5 882","5.6","6 178","6.4","6 619","8.0","7 660","11.3","8 580","14.1","12.0"
"Cadres moyens","6 762","6.5","7 075","7.4","7 169","8.6","6 185","9.2","6 600","10.8","6.7"
"Employés","12 704","12.2","11 145","11.6","8 850","10.7","7 455","11.0","6 220","10.2","-16.6"
"Ouvriers","16 412","15.7","13 719","14.3","9 285","11.2","4 850","7.2","3 540","5.8","-27.0"
"Personnel de service","6 839","6.6","6 054","6.3","5 012","6.0","3 515","5.2","2 800","4.6","-20.3"
"Autres actifs (2)","2 111","2.0","2 018","2.1","1 659","2.0","1 540","2.3","1 540","2.5","0.0"
"ACTIFS","56 981","54.6","50 696","52.7","42 101","50.7","33 505","49.6","31 360","51.4","-6.4"
"Enfants de moins de 15 ans","16 195","15.5","13 440","14.0","10 305","12.4","7 965","11.8","7 224","11.8","-9.3"
"Retraités","6 750","6.5","8 191","8.5","9 624","11.6","9 480","14.0","9 312","15.3","-1.8"
"Autres sans activité professionnelle","24 381","23.4","23 845","24.8","21 041","25.3","16 550","24.5","13 144","21.5","-20.6"
"INACTIFS","47 326","45.4","45 476","47.3","40 970","49.3","33 995","50.4","29 680","48.6","-12.7"
"TOTAL","104 307","100.0","96 172","100.0","83 071","100.0","67 500","100.0","61 040","100.0","-9.6"
