"Quartier 17","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT VICTOR","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 588","6.6","1 129","5.2","894","4.9","510","3.5","320","2.6","-37.3"
"Professions libérales et cadres supérieurs","1 225","5.1","1 238","5.7","1 310","7.1","1 570","10.8","1 880","15.1","19.7"
"Cadres moyens","1 518","6.3","1 623","7.4","1 638","8.9","1 260","8.6","1 500","12.1","19.0"
"Employés","3 139","13.0","2 582","11.8","1 980","10.8","1 605","11.0","1 380","11.1","-14.0"
"Ouvriers","4 131","17.1","3 563","16.3","2 299","12.5","1 085","7.4","760","6.1","-30.0"
"Personnel de service","1 563","6.5","1 325","6.1","1 082","5.9","775","5.3","580","4.7","-25.2"
"Autres actifs (2)","417","1.7","395","1.8","335","1.8","330","2.3","340","2.7","3.0"
"ACTIFS","13 581","56.2","11 855","54.3","9 538","52.0","7 135","48.9","6 760","54.3","-5.3"
"Enfants de moins de 15 ans","3 718","15.4","2 965","13.6","2 239","12.2","1 505","10.3","1 244","10.0","-17.3"
"Retraités","1 633","6.8","1 924","8.8","2 229","12.2","2 225","15.3","2 016","16.2","-9.4"
"Autres sans activité professionnelle","5 235","21.7","5 071","23.2","4 330","23.6","3 715","25.5","2 420","19.5","-34.9"
"INACTIFS","10 586","43.8","9 960","45.7","8 798","48.0","7 445","51.1","5 680","45.7","-23.7"
"TOTAL","24 167","100.0","21 815","100.0","18 336","100.0","14 580","100.0","12 440","100.0","-14.7"
