"Quartier 29","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"CHAMPS ELYSEES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","860","7.2","608","5.5","557","5.4","410","5.1","380","6.0","-7.3"
"Professions libérales et cadres supérieurs","1 037","8.7","1 032","9.3","864","8.4","855","10.7","620","9.8","-27.5"
"Cadres moyens","581","4.9","584","5.3","638","6.2","445","5.6","280","4.4","-37.1"
"Employés","995","8.3","830","7.5","759","7.4","585","7.3","460","7.3","-21.4"
"Ouvriers","813","6.8","703","6.4","715","7.0","690","8.6","700","11.1","1.4"
"Personnel de service","2 179","18.2","1 926","17.4","1 665","16.2","1 075","13.5","480","7.6","-55.3"
"Autres actifs (2)","236","2.0","230","2.1","259","2.5","170","2.1","200","3.2","17.6"
"ACTIFS","6 701","56.0","5 913","53.4","5 457","53.0","4 230","53.0","3 120","49.5","-26.2"
"Enfants de moins de 15 ans","1 651","13.8","1 486","13.4","1 198","11.6","1 055","13.2","700","11.1","-33.6"
"Retraités","413","3.5","571","5.2","726","7.1","820","10.3","776","12.3","-5.4"
"Autres sans activité professionnelle","3 193","26.7","3 095","28.0","2 906","28.2","1 875","23.5","1 704","27.0","-9.1"
"INACTIFS","5 257","44.0","5 152","46.6","4 830","47.0","3 750","47.0","3 180","50.5","-15.2"
"TOTAL","11 958","100.0","11 065","100.0","10 287","100.0","7 980","100.0","6 300","100.0","-21.1"
