"6ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","5 255","6.2","3 729","4.6","3 259","4.6","2 175","3.9","1 900","3.7","-12.6"
"Professions libérales et cadres supérieurs","6 401","7.5","6 531","8.1","6 896","9.7","7 605","13.5","8 060","15.6","6.0"
"Cadres moyens","5 729","6.7","5 867","7.3","5 577","7.9","4 600","8.2","4 020","7.8","-12.6"
"Employés","9 614","11.3","8 741","10.9","6 640","9.4","4 810","8.6","4 160","8.0","-13.5"
"Ouvriers","8 826","10.4","7 158","8.9","5 354","7.6","3 090","5.5","1 840","3.6","-40.5"
"Personnel de service","7 327","8.6","6 240","7.8","5 380","7.6","3 515","6.3","2 440","4.7","-30.6"
"Autres actifs (2)","1 889","2.2","2 472","3.1","2 386","3.4","1 640","2.9","1 480","2.9","-9.8"
"ACTIFS","45 041","53.0","40 738","50.7","35 492","50.2","27 435","48.9","23 900","46.2","-12.9"
"Enfants de moins de 15 ans","13 008","15.3","11 052","13.8","8 426","11.9","6 655","11.9","5 432","10.5","-18.4"
"Retraités","5 098","6.0","6 184","7.7","6 991","9.9","7 150","12.7","7 288","14.1","1.9"
"Autres sans activité professionnelle","21 903","25.8","22 346","27.8","19 856","28.1","14 895","26.5","15 080","29.2","1.2"
"INACTIFS","40 009","47.0","39 582","49.3","35 273","49.8","28 700","51.1","27 800","53.8","-3.1"
"TOTAL","85 050","100.0","80 320","100.0","70 765","100.0","56 135","100.0","51 700","100.0","-7.9"
