"6ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","35 744","100.0","33 839","100.0","31 744","100.0","27 210","100.0","25 044","100.0","25 335","100.0","24 631","100.0","1.2","-2.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","13 333","37.3","13 861","41.0","13 982","44.0","13 390","49.2","13 136","52.5","14 011","55.3","14 218","57.7","6.7","1.5"
". 2 personnes","10 046","28.1","9 213","27.2","8 436","26.6","7 160","26.3","6 372","25.4","6 118","24.1","5 907","24.0","-4.0","-3.4"
". 3 personnes","5 765","16.1","4 813","14.2","4 206","13.2","3 150","11.6","2 628","10.5","2 481","9.8","2 192","8.9","-5.6","-11.6"
". 4 personnes","3 201","9.0","2 876","8.5","2 593","8.2","2 035","7.5","1 760","7.0","1 756","6.9","1 493","6.1","-0.2","-15.0"
". 5 personnes et plus","3 399","9.5","3 076","9.1","2 527","8.0","1 475","5.4","1 148","4.6","969","3.8","821","3.3","-15.6","-15.3"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","25 809","81.3","22 795","83.8","21 176","84.6","21 604","85.3","21 376","86.8","2.0","-1.1"
". 1 enfant","-","","-","","3 300","10.4","2 300","8.5","2 084","8.3","1 995","7.9","1 717","7.0","-4.3","-13.9"
". 2 enfants","-","","-","","1 674","5.3","1 445","5.3","1 268","5.1","1 266","5.0","1 081","4.4","-0.2","-14.6"
". 3 enfants ou plus","-","","-","","961","3.0","670","2.5","516","2.1","470","1.9","457","1.9","-8.9","-2.8"
