"Quartier 24","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT GERMAIN DES PRES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","848","7.2","557","5.0","474","5.1","340","4.9","320","5.5","-5.9"
"Professions libérales et cadres supérieurs","829","7.0","905","8.2","896","9.7","995","14.2","820","14.0","-17.6"
"Cadres moyens","873","7.4","802","7.3","775","8.4","670","9.6","620","10.6","-7.5"
"Employés","1 357","11.5","1 159","10.5","858","9.3","590","8.4","540","9.2","-8.5"
"Ouvriers","1 273","10.8","1 033","9.3","688","7.5","400","5.7","280","4.8","-30.0"
"Personnel de service","1 153","9.7","936","8.5","751","8.1","525","7.5","260","4.4","-50.5"
"Autres actifs (2)","293","2.5","315","2.9","253","2.7","175","2.5","200","3.4","14.3"
"ACTIFS","6 626","56.0","5 707","51.6","4 695","50.9","3 695","52.7","3 040","51.9","-17.7"
"Enfants de moins de 15 ans","1 748","14.8","1 587","14.4","1 109","12.0","830","11.8","668","11.4","-19.5"
"Retraités","723","6.1","825","7.5","1 004","10.9","865","12.3","848","14.5","-2.0"
"Autres sans activité professionnelle","2 734","23.1","2 931","26.5","2 415","26.2","1 620","23.1","1 304","22.3","-19.5"
"INACTIFS","5 205","44.0","5 343","48.4","4 528","49.1","3 315","47.3","2 820","48.1","-14.9"
"TOTAL","11 831","100.0","11 050","100.0","9 223","100.0","7 010","100.0","5 860","100.0","-16.4"
