"Quartier 14","1982","","1990","","1999","","","évolution en %"
"SAINT GERVAIS","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","524","4.3","536","4.6","392","3.8","2.3","-26.9"
"Cadres, professions intellectuelles supérieures","1 600","13.0","2 236","19.4","2 504","24.1","39.8","12.0"
"Professions intermédiaires","1 248","10.1","1 344","11.7","1 352","13.0","7.7","0.6"
"Employés","1 896","15.4","1 428","12.4","1 261","12.1","-24.7","-11.7"
"Ouvriers","932","7.6","744","6.4","404","3.9","-20.2","-45.7"
"Autres actifs (1)","108","0.9","50","0.4","52","0.5","-53.7","4.0"
"ACTIFS","6 308","51.3","6 338","54.9","5 965","57.5","0.5","-5.9"
"Enfants  de moins de 15 ans","1 360","11.1","1 170","10.1","744","7.2","-14.0","-36.4"
"Retraités","2 260","18.4","2 124","18.4","1 784","17.2","-6.0","-16.0"
"Autres sans activité professionnelle","2 376","19.3","1 904","16.5","1 889","18.2","-19.9","-0.8"
"INACTIFS","5 996","48.7","5 198","45.1","4 417","42.5","-13.3","-15.0"
"TOTAL","12 304","100.0","11 536","100.0","10 382","100.0","-6.2","-10.0"
