"4ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","28 665","100.0","27 277","100.0","24 403","100.0","20 675","100.0","18 408","100.0","17 706","100.0","18 110","100.0","-3.8","2.3"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","10 068","35.1","10 496","38.5","9 921","40.7","9 900","47.9","9 888","53.7","9 654","54.5","10 910","60.2","-2.4","13.0"
". 2 personnes","8 943","31.2","8 132","29.8","7 197","29.5","5 770","27.9","4 892","26.6","4 572","25.8","4 358","24.1","-6.5","-4.7"
". 3 personnes","4 885","17.0","4 191","15.4","3 493","14.3","2 545","12.3","1 912","10.4","1 822","10.3","1 483","8.2","-4.7","-18.6"
". 4 personnes","2 642","9.2","2 392","8.8","2 120","8.7","1 610","7.8","1 132","6.1","1 164","6.6","921","5.1","2.8","-20.9"
". 5 personnes et plus","2 127","7.4","2 066","7.6","1 672","6.9","850","4.1","584","3.2","494","2.8","438","2.4","-15.4","-11.3"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","19 219","78.8","17 080","82.6","15 680","85.2","15 131","85.5","15 955","88.1","-3.5","5.4"
". 1 enfant","-","","-","","2 872","11.8","2 080","10.1","1 576","8.6","1 482","8.4","1 257","6.9","-6.0","-15.2"
". 2 enfants","-","","-","","1 498","6.1","1 145","5.5","868","4.7","823","4.6","666","3.7","-5.2","-19.1"
". 3 enfants ou plus","-","","-","","814","3.3","370","1.8","284","1.5","270","1.5","232","1.3","-4.9","-14.1"
