"Quartier 15","1982","","1990","","1999","","","évolution en %"
"ARSENAL","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","400","4.0","504","5.1","344","3.6","26.0","-31.7"
"Cadres, professions intellectuelles supérieures","1 420","14.1","2 128","21.5","2 372","24.8","49.9","11.5"
"Professions intermédiaires","968","9.6","1 052","10.6","1 040","10.9","8.7","-1.1"
"Employés","1 628","16.1","1 136","11.5","1 172","12.2","-30.2","3.2"
"Ouvriers","612","6.1","480","4.8","304","3.2","-21.6","-36.7"
"Autres actifs (1)","80","0.8","44","0.4","36","0.4","-45.0","-18.2"
"ACTIFS","5 108","50.6","5 344","53.9","5 268","55.0","4.6","-1.4"
"Enfants  de moins de 15 ans","1 276","12.6","1 224","12.4","1 176","12.3","-4.1","-3.9"
"Retraités","1 692","16.8","1 372","13.8","1 408","14.7","-18.9","2.6"
"Autres sans activité professionnelle","2 020","20.0","1 968","19.9","1 720","18.0","-2.6","-12.6"
"INACTIFS","4 988","49.4","4 564","46.1","4 304","45.0","-8.5","-5.7"
"TOTAL","10 096","100.0","9 908","100.0","9 572","100.0","-1.9","-3.4"
