"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","28 665","100.0","27 276","100.0","24 442","100.0","20 675","100.0","18 408","100.0","17 706","100.0","18 110","100.0","-3.8","2.3"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","10 712","37.4","10 953","40.2","9 044","37.0","6 775","32.8","5 348","29.1","4 996","28.2","5 300","29.3","-6.6","6.1"
". 2 pièces","8 823","30.8","8 518","31.2","7 731","31.6","6 330","30.6","5 912","32.1","5 432","30.7","5 463","30.2","-8.1","0.6"
". 3 pièces","4 809","16.8","4 695","17.2","4 452","18.2","4 230","20.5","4 060","22.1","3 928","22.2","3 800","21.0","-3.3","-3.3"
". 4 pièces","3 100","10.8","1 755","6.4","1 805","7.4","1 865","9.0","1 832","10.0","1 964","11.1","1 998","11.0","7.2","1.7"
". 5 pièces et plus","","","1 355","5.0","1 410","5.8","1 475","7.1","1 256","6.8","1 386","7.8","1 549","8.6","10.4","11.8"
". Non déterminée","1 221","4.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","22 574","82.8","20 735","84.8","18 935","91.6","17 696","96.1","17 068","96.4","17 637","97.4","-3.5","3.3"
". Chambre d'hôtel meublé","-","","3 272","12.0","2 402","9.8","1 045","5.1","284","1.5","135","0.8","54","0.3","-52.5","-60.0"
". Pièce indépendante louée ou prêtée","-","","1 339","4.9","1 287","5.3","680","3.3","420","2.3","498","2.8","417","2.3","18.6","-16.3"
". Construction provisoire,hab. de fortune","-","","91","0.3","18","0.1","15","0.1","0","","5","0.0","2","0.0","","-60.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","1 838","6.4","3 783","13.9","4 202","17.2","4 520","21.9","4 548","24.7","5 075","28.7","5 423","29.9","11.6","6.9"
". Locataire","26 827","93.6","20 624","75.6","17 348","71.0","13 475","65.2","11 500","62.5","10 266","58.0","10 562","58.3","-10.7","2.9"
"d'un local loué vide HLM","-","","-","","-","","-","","644","3.5","1 066","6.0","1 368","7.6","65.5","28.3"
"d'un local loué vide non HLM","-","","-","","-","","-","","9 760","53.0","8 415","47.5","8 026","44.3","-13.8","-4.6"
"d'un local loué meublé","-","","-","","-","","-","","1 096","6.0","785","4.4","1 168","6.4","-28.4","48.8"
". Logé gratuitement","-","","2 869","10.5","2 892","11.8","2 680","13.0","2 360","12.8","2 365","13.4","2 125","11.7","0.2","-10.1"
