"Quartier 16","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"NOTRE DAME","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","4 266","100.0","4 009","100.0","3 637","100.0","3 705","100.0","3 448","100.0","3 502","100.0","3 286","100.0","1.6","-6.2"
"Résidences principales","-","","3 814","95.1","3 259","89.6","3 205","86.5","2 624","76.1","2 356","67.3","2 452","74.6","-10.2","4.1"
"Logements vacants (1)","-","","97","2.4","100","2.7","300","8.1","332","9.6","473","13.5","369","11.2","42.5","-22.0"
"Résidences secondaires","-","","98","2.4","278","7.6","200","5.4","492","14.3","181","5.2","303","9.2","-63.2","67.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","492","14.0","162","4.9","","-67.1"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","3 814","100.0","3 259","100.0","3 205","100.0","2 624","100.0","2 356","100.0","2 452","100.0","-10.2","4.1"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","3 690","96.7","3 070","94.2","2 950","92.0","2 516","95.9","2 152","91.3","2 257","92.0","-14.5","4.9"
". 1915 à 1948","0","","55","1.4","103","3.2","175","5.5","68","2.6","97","4.1","113","4.6","42.6","16.5"
". 1949 à 1981","0","","69","1.8","86","2.6","80","2.5","40","1.5","103","4.4","79","3.2","157.5","-23.3"
". 1982 à 1989","-","","-","","-","","-","","-","","4","0.2","0","0.0","","-100.0"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","3","0.1","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","412","15.7","212","9.0","128","5.2","-48.5","-39.6"
". sans WC ou sans douche","-","","-","","-","","-","","316","12.0","225","9.6","204","8.3","-28.8","-9.3"
"Total sans confort","-","","-","","-","","-","","728","27.7","437","18.5","332","13.5","-40.0","-24.0"
". WC et douche, sans chauffage central","-","","-","","-","","-","","592","22.6","468","19.9","210","8.6","-20.9","-55.1"
". WC et douche, avec chauffage central","-","","-","","-","","-","","1 304","49.7","1 451","61.6","1 910","77.9","11.3","31.6"
"Total confort","-","","-","","-","","-","","1 896","72.3","1 919","81.5","2 120","86.5","1.2","10.5"
"Avec WC intérieurs","1 583","","1 583","41.5","1 735","53.2","2 165","67.6","2 036","77.6","1 984","84.2","2 172","88.6","-2.6","9.5"
"Avec baignoire ou douche","770","","1 180","30.9","1 606","49.3","2 215","69.1","2 072","79.0","2 079","88.2","2 272","92.7","0.3","9.3"
