"16ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","75 877","100.0","84 900","100.0","89 603","100.0","88 740","100.0","87 316","100.0","84 527","100.0","82 296","100.0","-3.2","-2.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","21 268","28.0","27 529","32.4","33 570","37.5","38 870","43.8","41 020","47.0","41 285","48.8","41 301","50.2","0.6","0.0"
". 2 personnes","21 380","28.2","23 301","27.4","23 880","26.7","23 680","26.7","23 332","26.7","22 097","26.1","21 290","25.9","-5.3","-3.7"
". 3 personnes","13 179","17.4","13 804","16.3","13 458","15.0","11 795","13.3","10 416","11.9","9 221","10.9","8 836","10.7","-11.5","-4.2"
". 4 personnes","8 465","11.2","8 742","10.3","8 696","9.7","7 620","8.6","7 776","8.9","7 443","8.8","6 924","8.4","-4.3","-7.0"
". 5 personnes et plus","11 585","15.3","11 524","13.6","9 999","11.2","6 775","7.6","4 772","5.5","4 481","5.3","3 945","4.8","-6.1","-12.0"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","69 937","78.1","72 025","81.2","71 792","82.2","69 768","82.5","67 861","82.5","-2.8","-2.7"
". 1 enfant","-","","-","","10 870","12.1","8 870","10.0","8 040","9.2","7 379","8.7","7 403","9.0","-8.2","0.3"
". 2 enfants","-","","-","","5 846","6.5","5 290","6.0","5 420","6.2","5 168","6.1","4 900","6.0","-4.6","-5.2"
". 3 enfants ou plus","-","","-","","2 950","3.3","2 555","2.9","2 064","2.4","2 212","2.6","2 132","2.6","7.2","-3.6"
"POPULATION DES MÉNAGES","208 559","","219 977","","210 036","","190 520","","175 860","","167 186","","159 283","","-4.9","-4.7"
"Taille moyenne des ménages","2.75","","2.59","","2.34","","2.15","","2.01","","1.98","","1.94","","-1.8","-2.1"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","3.15","","3.16","","3.13","","3.05","","3.02","","2.98","","2.97","","-1.4","-0.2"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","0.88","","0.82","","0.77","","0.70","","0.67","","0.66","","0.65","","-0.4","-1.9"
