"Quartier 62","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MUETTE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 488","5.9","2 620","4.2","2 623","4.5","2 035","3.8","1 980","3.9","-2.7"
"Professions libérales et cadres supérieurs","5 653","9.5","6 822","10.9","6 719","11.4","7 410","13.7","7 180","14.3","-3.1"
"Cadres moyens","3 398","5.7","3 725","6.0","3 924","6.7","3 360","6.2","3 360","6.7","0.0"
"Employés","4 555","7.7","4 661","7.5","3 890","6.6","4 095","7.5","3 360","6.7","-17.9"
"Ouvriers","3 280","5.5","2 953","4.7","2 872","4.9","2 300","4.2","2 420","4.8","5.2"
"Personnel de service","8 232","13.9","8 083","13.0","6 975","11.9","5 260","9.7","3 480","6.9","-33.8"
"Autres actifs (2)","968","1.6","1 157","1.9","877","1.5","930","1.7","640","1.3","-31.2"
"ACTIFS","29 574","49.9","30 021","48.2","27 880","47.5","25 390","46.8","22 420","44.7","-11.7"
"Enfants de moins de 15 ans","9 935","16.8","9 416","15.1","7 425","12.7","6 910","12.7","6 932","13.8","0.3"
"Retraités","2 617","4.4","3 555","5.7","4 112","7.0","4 970","9.2","6 176","12.3","24.3"
"Autres sans activité professionnelle","17 179","29.0","19 326","31.0","19 274","32.8","16 995","31.3","14 612","29.1","-14.0"
"INACTIFS","29 731","50.1","32 297","51.8","30 811","52.5","28 875","53.2","27 720","55.3","-4.0"
"TOTAL","59 305","100.0","62 318","100.0","58 691","100.0","54 265","100.0","50 140","100.0","-7.6"
