"Quartier 64","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"CHAILLOT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 386","6.6","1 719","4.8","1 550","4.9","1 070","4.0","880","4.0","-17.8"
"Professions libérales et cadres supérieurs","3 021","8.3","3 228","9.0","3 088","9.8","3 495","13.0","3 220","14.6","-7.9"
"Cadres moyens","1 965","5.4","1 986","5.6","2 110","6.7","1 470","5.4","920","4.2","-37.4"
"Employés","3 125","8.6","3 083","8.6","2 458","7.8","2 140","7.9","1 740","7.9","-18.7"
"Ouvriers","2 426","6.7","2 177","6.1","2 003","6.3","1 425","5.3","1 080","4.9","-24.2"
"Personnel de service","5 848","16.1","5 422","15.2","4 437","14.0","3 035","11.2","1 900","8.6","-37.4"
"Autres actifs (2)","638","1.8","727","2.0","488","1.5","475","1.8","240","1.1","-49.5"
"ACTIFS","19 409","53.4","18 342","51.4","16 134","51.0","13 110","48.6","9 980","45.2","-23.9"
"Enfants de moins de 15 ans","5 348","14.7","4 750","13.3","3 829","12.1","3 480","12.9","2 620","11.9","-24.7"
"Retraités","1 787","4.9","2 092","5.9","2 630","8.3","2 815","10.4","3 012","13.7","7.0"
"Autres sans activité professionnelle","9 774","26.9","10 535","29.5","9 050","28.6","7 575","28.1","6 448","29.2","-14.9"
"INACTIFS","16 909","46.6","17 377","48.6","15 509","49.0","13 870","51.4","12 080","54.8","-12.9"
"TOTAL","36 318","100.0","35 719","100.0","31 643","100.0","26 980","100.0","22 060","100.0","-18.2"
