"10ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","56 807","100.0","55 371","100.0","52 629","100.0","46 365","100.0","45 000","100.0","45 740","100.0","46 711","100.0","1.6","2.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","19 072","33.6","19 673","35.5","20 154","38.3","20 620","44.5","22 068","49.0","22 129","48.4","24 177","51.8","0.3","9.3"
". 2 personnes","19 140","33.7","18 094","32.7","16 547","31.4","13 900","30.0","12 300","27.3","12 647","27.6","11 965","25.6","2.8","-5.4"
". 3 personnes","9 969","17.5","9 319","16.8","8 468","16.1","6 440","13.9","5 660","12.6","5 387","11.8","5 102","10.9","-4.8","-5.3"
". 4 personnes","5 220","9.2","4 955","8.9","4 651","8.8","3 715","8.0","3 392","7.5","3 582","7.8","3 379","7.2","5.6","-5.7"
". 5 personnes et plus","3 406","6.0","3 330","6.0","2 809","5.3","1 690","3.6","1 580","3.5","1 995","4.4","2 088","4.5","26.3","4.7"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","41 149","78.2","37 620","81.1","36 780","81.7","36 866","80.6","38 093","81.6","0.2","3.3"
". 1 enfant","-","","-","","6 971","13.2","5 325","11.5","4 712","10.5","4 823","10.5","4 650","10.0","2.4","-3.6"
". 2 enfants","-","","-","","3 276","6.2","2 590","5.6","2 576","5.7","2 772","6.1","2 743","5.9","7.6","-1.0"
". 3 enfants ou plus","-","","-","","1 233","2.3","830","1.8","932","2.1","1 279","2.8","1 225","2.6","37.2","-4.2"
"POPULATION DES MÉNAGES","127 176","","122 529","","112 051","","91 930","","85 964","","89 029","","88 795","","3.6","-0.3"
"Taille moyenne des ménages","2.24","","2.21","","2.13","","1.98","","1.91","","1.95","","1.90","","1.9","-2.3"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","2.12","","2.11","","2.15","","2.25","","2.30","","2.34","","2.38","","1.8","1.8"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","1.06","","1.05","","1.00","","0.88","","0.83","","0.83","","0.80","","0.1","-4.0"
