"10ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","11 601","9.1","8 541","6.9","6 755","5.9","4 695","5.0","3 920","4.5","-16.5"
"Professions libérales et cadres supérieurs","3 834","3.0","4 236","3.4","3 884","3.4","4 625","5.0","5 900","6.7","27.6"
"Cadres moyens","7 577","5.9","8 206","6.6","8 100","7.1","7 125","7.6","7 500","8.5","5.3"
"Employés","16 613","13.0","16 750","13.4","15 315","13.5","12 675","13.6","11 120","12.7","-12.3"
"Ouvriers","22 969","17.9","20 878","16.8","18 124","15.9","14 255","15.3","11 360","12.9","-20.3"
"Personnel de service","9 165","7.2","8 339","6.7","7 573","6.7","5 325","5.7","4 940","5.6","-7.2"
"Autres actifs (2)","2 706","2.1","2 381","1.9","1 991","1.8","1 705","1.8","1 620","1.8","-5.0"
"ACTIFS","74 465","58.2","69 331","55.7","61 742","54.3","50 405","54.0","46 360","52.8","-8.0"
"Enfants de moins de 15 ans","19 813","15.5","18 140","14.6","15 474","13.6","12 105","13.0","11 652","13.3","-3.7"
"Retraités","8 618","6.7","11 495","9.2","12 984","11.4","13 865","14.9","13 160","15.0","-5.1"
"Autres sans activité professionnelle","25 097","19.6","25 603","20.6","23 534","20.7","16 950","18.2","16 568","18.9","-2.3"
"INACTIFS","53 528","41.8","55 238","44.3","51 992","45.7","42 920","46.0","41 380","47.2","-3.6"
"TOTAL","127 993","100.0","124 569","100.0","113 734","100.0","93 325","100.0","87 740","100.0","-6.0"
