"Quartier 39","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PORTE SAINT MARTIN","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 561","10.1","2 623","7.6","2 014","6.5","1 435","5.8","860","3.7","-40.1"
"Professions libérales et cadres supérieurs","968","2.7","1 115","3.2","977","3.2","1 290","5.2","2 020","8.8","56.6"
"Cadres moyens","1 985","5.6","2 255","6.6","2 153","7.0","1 565","6.3","1 800","7.8","15.0"
"Employés","4 565","13.0","4 549","13.2","4 064","13.2","3 170","12.8","2 680","11.7","-15.5"
"Ouvriers","6 120","17.4","5 636","16.4","4 933","16.0","3 765","15.2","2 720","11.8","-27.8"
"Personnel de service","2 710","7.7","2 449","7.1","2 134","6.9","1 465","5.9","1 560","6.8","6.5"
"Autres actifs (2)","863","2.4","772","2.2","611","2.0","525","2.1","320","1.4","-39.0"
"ACTIFS","20 772","59.0","19 399","56.5","16 886","54.7","13 215","53.2","11 960","52.1","-9.5"
"Enfants de moins de 15 ans","5 284","15.0","4 914","14.3","4 154","13.5","3 320","13.4","2 696","11.7","-18.8"
"Retraités","2 354","6.7","3 078","9.0","3 600","11.7","3 875","15.6","3 524","15.3","-9.1"
"Autres sans activité professionnelle","6 821","19.4","6 963","20.3","6 214","20.1","4 415","17.8","4 780","20.8","8.3"
"INACTIFS","14 459","41.0","14 955","43.5","13 968","45.3","11 610","46.8","11 000","47.9","-5.3"
"TOTAL","35 231","100.0","34 354","100.0","30 854","100.0","24 825","100.0","22 960","100.0","-7.5"
