"10ème   arrondissement","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PERSONNES EXERCANT UN EMPLOI A PARIS","","","","","","","","","","","","",""
"","Total","94 572","100.0","99 415","100.0","85 516","100.0","88 078","100.0","71 962","100.0","3.0","-18.3"
"dont :","habitent à Paris","52 316","55.3","42 895","43.1","35 400","41.4","32 746","37.2","29 751","41.3","-7.5","-9.1"
"","-  dans l'arrondissement du lieu de travail","27 608","29.2","15 450","15.5","12 032","14.1","11 318","12.8","14 120","19.6","-5.9","24.8"
"","-  dans un autre arrondissement","24 708","26.1","27 445","27.6","23 368","27.3","21 428","24.3","15 631","21.7","-8.3","-27.1"
"","habitent en banlieue  (Ile-de-France hors Paris)","39 952","42.2","51 045","51.3","45 084","52.7","49 196","55.9","37 086","51.5","9.1","-24.6"
"","-  en Petite Couronne","27 356","28.9","33 115","33.3","27 840","32.6","28 848","32.8","21 144","29.4","3.6","-26.7"
"","Hauts de Seine","5 528","5.8","6 105","6.1","5 304","6.2","5 736","6.5","4 506","6.3","8.1","-21.4"
"","Seine Saint Denis","15 740","16.6","17 780","17.9","16 140","18.9","16 100","18.3","11 399","15.8","-0.2","-29.2"
"","Val de Marne","6 088","6.4","9 230","9.3","6 396","7.5","7 012","8.0","5 239","7.3","9.6","-25.3"
"","-  en Grande Couronne","12 596","13.3","17 930","18.0","17 244","20.2","20 348","23.1","15 942","22.2","18.0","-21.7"
"","habitent en province","2 304","2.4","5 475","5.5","5 032","5.9","6 136","7.0","5 125","7.1","21.9","-16.5"
"PERSONNES AYANT UN EMPLOI ET RESIDANT A PARIS","","","","","","","","","","","","",""
"","Total","60 312","100.0","47 800","100.0","41 696","100.0","43 745","100.0","43 186","100.0","4.9","-1.3"
"dont :","travaillent à Paris","52 988","87.9","39 305","82.2","33 016","79.2","32 958","75.3","31 660","73.3","-0.2","-3.9"
"","-  dans l'arrondissement du lieu de résidence","27 608","45.8","15 450","32.3","12 032","28.9","11 318","25.9","14 120","32.7","-5.9","24.8"
"","-  dans un autre arrondissement","25 380","42.1","23 855","49.9","20 984","50.3","21 640","49.5","17 540","40.6","3.1","-18.9"
"","travaillent en banlieue  (Ile-de-France hors Paris)","7 044","11.7","8 190","17.1","8 316","19.9","10 096","23.1","10 746","24.9","21.4","6.4"
"","-  en Petite Couronne","6 320","10.5","6 995","14.6","6 720","16.1","7 920","18.1","8 254","19.1","17.9","4.2"
"","Hauts de Seine","3 040","5.0","3 185","6.7","2 936","7.0","3 648","8.3","4 212","9.8","24.3","15.5"
"","Seine Saint Denis","2 248","3.7","2 650","5.5","2 600","6.2","2 748","6.3","2 809","6.5","5.7","2.2"
"","Val de Marne","1 032","1.7","1 160","2.4","1 184","2.8","1 524","3.5","1 233","2.9","28.7","-19.1"
"","-  en Grande Couronne","724","1.2","1 195","2.5","1 596","3.8","2 176","5.0","2 492","5.8","36.3","14.5"
"","travaillent en province ou hors France métropolitaine","280","0.5","305","0.6","364","0.9","691","1.6","780","1.8","89.8","12.9"
