"Quartier 18","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"JARDIN DES PLANTES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 654","6.0","1 185","4.6","965","4.0","665","3.4","780","4.4","17.3"
"Professions libérales et cadres supérieurs","1 092","4.0","1 310","5.1","1 515","6.3","1 925","9.7","1 940","11.0","0.8"
"Cadres moyens","1 918","7.0","2 107","8.2","2 218","9.3","2 095","10.6","2 080","11.8","-0.7"
"Employés","3 864","14.1","3 490","13.6","2 964","12.4","2 405","12.1","2 220","12.6","-7.7"
"Ouvriers","4 518","16.5","3 800","14.8","2 746","11.5","1 645","8.3","1 040","5.9","-36.8"
"Personnel de service","1 584","5.8","1 467","5.7","1 256","5.3","1 015","5.1","680","3.9","-33.0"
"Autres actifs (2)","514","1.9","602","2.3","492","2.1","480","2.4","480","2.7","0.0"
"ACTIFS","15 144","55.2","13 961","54.2","12 156","50.8","10 230","51.7","9 220","52.4","-9.9"
"Enfants de moins de 15 ans","4 492","16.4","3 843","14.9","3 308","13.8","2 625","13.3","2 328","13.2","-11.3"
"Retraités","2 055","7.5","2 484","9.6","2 977","12.5","3 010","15.2","3 000","17.0","-0.3"
"Autres sans activité professionnelle","5 747","20.9","5 460","21.2","5 470","22.9","3 940","19.9","3 052","17.3","-22.5"
"INACTIFS","12 294","44.8","11 787","45.8","11 755","49.2","9 575","48.3","8 380","47.6","-12.5"
"TOTAL","27 438","100.0","25 748","100.0","23 911","100.0","19 805","100.0","17 600","100.0","-11.1"
