"Quartier 18","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"JARDIN DES PLANTES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","11 472","100.0","11 368","100.0","10 230","100.0","10 100","100.0","10 487","100.0","10 364","100.0","3.8","-1.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","4 171","36.4","4 615","40.6","4 965","48.5","5 384","53.3","5 760","54.9","5 956","57.5","7.0","3.4"
". 2 personnes","","-","","3 631","31.7","3 445","30.3","2 890","28.3","2 592","25.7","2 767","26.4","2 635","25.4","6.8","-4.8"
". 3 personnes","","-","","1 947","17.0","1 745","15.4","1 240","12.1","1 140","11.3","1 034","9.9","932","9.0","-9.3","-9.9"
". 4 personnes","","-","","1 059","9.2","994","8.7","765","7.5","676","6.7","655","6.2","614","5.9","-3.1","-6.3"
". 5 personnes et plus","","-","","664","5.8","569","5.0","370","3.6","308","3.0","271","2.6","227","2.2","-12.0","-16.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","8 948","78.7","8 405","82.2","8 444","83.6","8 950","85.3","8 942","86.3","6.0","-0.1"
". 1 enfant","","-","","-","","1 422","12.5","1 050","10.3","984","9.7","903","8.6","816","7.9","-8.2","-9.6"
". 2 enfants","","-","","-","","718","6.3","565","5.5","500","5.0","476","4.5","478","4.6","-4.8","0.4"
". 3 enfants ou plus","","-","","-","","280","2.5","210","2.1","172","1.7","158","1.5","128","1.2","-8.1","-19.0"
"POPULATION DES MÉNAGES","","27 178","","25 252","","23 675","","19 545","","18 320","","18 453","","17 666","","0.7","-4.3"
"Taille moyenne des ménages","","0.00","","2.20","","2.08","","1.91","","1.81","","1.76","","1.70","","-3.0","-3.1"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
