"5ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","47 159","100.0","44 838","100.0","41 236","100.0","38 090","100.0","39 704","100.0","40 735","100.0","40 494","100.0","2.6","-0.6"
"Résidences principales","46 339","98.3","43 300","96.6","38 678","93.8","34 200","89.8","33 128","83.4","33 337","81.8","33 119","81.8","0.6","-0.7"
"Logements vacants (1)","286","0.6","653","1.5","1 270","3.1","2 800","7.4","3 744","9.4","3 567","8.8","4 204","10.4","-4.7","17.9"
"Résidences secondaires","454","1.0","885","2.0","1 288","3.1","1 090","2.9","2 832","7.1","970","2.4","1 466","3.6","-65.7","51.1"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 861","7.0","1 705","4.2","","-40.4"
"Autres","80","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","46 339","100.0","43 300","100.0","38 678","100.0","34 200","100.0","33 128","100.0","33 337","100.0","33 119","100.0","0.6","-0.7"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","40 109","85.5","38 318","88.5","32 659","84.4","27 550","80.6","24 648","74.4","24 611","73.8","24 358","73.5","-0.2","-1.0"
". 1915 à 1948","3 144","6.7","4 184","9.7","4 373","11.3","3 900","11.4","3 984","12.0","3 542","10.6","3 168","9.6","-11.1","-10.6"
". 1949 à 1981","38","0.1","798","1.8","1 646","4.3","2 750","8.0","4 496","13.6","4 604","13.8","4 655","14.1","2.4","1.1"
". 1982 à 1989","-","","-","","-","","-","","-","","580","1.7","384","1.2","","-33.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","554","1.7","",""
". Non déterminée","3 593","7.7","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","4 328","13.1","2 683","8.0","1 198","3.6","-38.0","-55.3"
". sans WC ou sans douche","-","","-","","-","","-","","4 668","14.1","3 127","9.4","2 414","7.3","-33.0","-22.8"
"Total sans confort","-","","-","","-","","-","","8 996","27.2","5 810","17.4","3 612","10.9","-35.4","-37.8"
". WC et douche, sans chauffage central","-","","-","","-","","-","","7 688","23.2","5 845","17.5","2 634","8.0","-24.0","-54.9"
". WC et douche, avec chauffage central","-","","-","","-","","-","","16 444","49.6","21 682","65.0","26 873","81.1","31.9","23.9"
"Total confort","-","","-","","-","","-","","24 132","72.8","27 527","82.6","29 507","89.1","14.1","7.2"
"Avec WC intérieurs","17 590","38.0","18 852","43.5","20 061","51.9","24 225","70.8","26 524","80.1","28 994","87.0","30 196","91.2","9.3","4.1"
"Avec baignoire ou douche","6 792","14.7","11 166","25.8","15 588","40.3","22 985","67.2","26 432","79.8","29 187","87.6","31 232","94.3","10.4","7.0"
