"SECTEUR SECONDAIRE (2)","","10 808
22.4","6 800
13.8","5 016
10.8","4 796","9.7   
3 816","7.8","-4.4","-20.4"
"dont","Industrie","7 912
16.4","4 765
9.7","3 500
7.5","3 300","6.6   
-","","-5.7",""
"",". Industrie agro-alimentaire","-","360
0.7","392
0.8","416","0.8   
-","","6.1",""
"",". Production et distribution d'énergie","-","95
0.2","60
0.1","200","0.4   
-","","233.3",""
"",". Industrie des biens intermédiaires","-","510
1.0","216
0.5","216","0.4   
-","","0.0",""
"",". Industrie des biens d'équipements","-","815
1.7","460
1.0","376","0.8   
-","","-18.3",""
"",". Industries des biens de consommations courantes","-","2 985
6.1","2 372
5.1","2 092","4.2   
-","","-11.8",""
"","Bâtiment et génie civil","2 896
6.0","2 035
4.1","1 516
3.3","1 496","3.0   
-","","-1.3",""
"dont","Industrie","-","-","-","-","2 919","6.0","",""
"","Energie","-","-","-","-","118","0.2","",""
"","Construction","-","-","-","-","779","1.6","",""
"SECTEUR TERTIAIRE","","37 388
77.5","42 430
86.2","41 608
89.2","44 836
90.3","45 077","92.2","7.8","0.5"
"dont","Commerce","4 740
9.8","4 330
8.8","4 376
9.4","3 736","7.5   
3 399","6.9","-14.6","-9.0"
"","Transports et télécommunications","-","1 810
3.7","1 284
2.8","1 656","3.3","","29.0",""
"","Services marchands","-","9 805
19.9","11 280
24.2","14 716","29.6","","30.5",""
"","Location et crédit bail immobilier","-","200
0.4","364
0.8","528","1.1","","45.1",""
"","Assurances","-","240
0.5","400
0.9","744","1.5","","86.0",""
"","Organismes financiers","-","665
1.4","960
2.1","864","1.7","","-10.0",""
"","Services non marchands","-","25 380
51.5","22 944
49.2","22 592","45.5","","-1.5",""
"dont","Transports","-","-","-","-","889","1.8","",""
"","Activités immobilières","-","-","-","-","1 629","3.3","",""
"","Activités financières","-","-","-","-","1 480","3.0","",""
"","Services aux entreprises","-","-","-","-","9 432","19.3","",""
"","Services aux particuliers","-","-","-","-","7 485","15.3","",""
"","Education","-","-","-","-","15 883","32.5","",""
"","Administration","-","-","-","-","4 880","10.0","",""
"TOTAL DES EMPLOIS EXERCÉS","","48 228
100.0","49 245
100.0","46 628
100.0","49 648
100.0","48 909","100.0","6.5","-1.5"
