"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","46 339","100.0","43 300","100.0","38 678","100.0","34 200","100.0","33 128","100.0","33 337","100.0","33 119","100.0","0.6","-0.7"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","17 976","38.8","17 735","41.0","14 079","36.4","10 960","32.0","10 068","30.4","9 948","29.8","9 584","28.9","-1.2","-3.7"
". 2 pièces","13 209","28.5","12 817","29.6","11 864","30.7","10 550","30.8","10 376","31.3","10 240","30.7","10 055","30.4","-1.3","-1.8"
". 3 pièces","7 413","16.0","7 284","16.8","7 130","18.4","6 980","20.4","6 656","20.1","6 818","20.5","6 753","20.4","2.4","-1.0"
". 4 pièces","5 470","11.8","2 867","6.6","2 890","7.5","3 025","8.8","3 204","9.7","3 497","10.5","3 642","11.0","9.1","4.1"
". 5 pièces et plus","","","2 597","6.0","2 715","7.0","2 685","7.9","2 824","8.5","2 834","8.5","3 085","9.3","0.4","8.9"
". Non déterminée","2 271","4.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","35 275","81.5","33 001","85.3","31 340","91.6","31 460","95.0","32 015","96.0","32 169","97.1","1.8","0.5"
". Chambre d'hôtel meublé","-","","6 386","14.7","3 321","8.6","1 085","3.2","404","1.2","174","0.5","63","0.2","-56.9","-63.8"
". Pièce indépendante louée ou prêtée","-","","1 591","3.7","2 315","6.0","1 765","5.2","1 112","3.4","1 142","3.4","883","2.7","2.7","-22.7"
". Construction provisoire,hab. de fortune","-","","48","0.1","41","0.1","10","0.0","8","0.0","6","0.0","4","0.0","-25.0","-33.3"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","3 796","8.2","7 591","17.5","8 200","21.2","8 790","25.7","8 528","25.7","9 695","29.1","10 038","30.3","13.7","3.5"
". Locataire","42 543","91.8","31 498","72.7","26 089","67.5","21 155","61.9","20 188","60.9","19 216","57.6","19 130","57.8","-4.8","-0.4"
"d'un local loué vide HLM","-","","-","","-","","-","","1 588","4.8","1 941","5.8","2 212","6.7","22.2","14.0"
"d'un local loué vide non HLM","-","","-","","-","","-","","16 856","50.9","15 716","47.1","14 588","44.0","-6.8","-7.2"
"d'un local loué meublé","-","","-","","-","","-","","1 744","5.3","1 559","4.7","2 330","7.0","-10.6","49.5"
". Logé gratuitement","-","","4 211","9.7","4 389","11.3","4 255","12.4","4 412","13.3","4 426","13.3","3 951","11.9","0.3","-10.7"
