"Quartier 20","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SORBONNE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 398","6.7","981","5.1","647","4.3","475","4.2","300","2.8","-36.8"
"Professions libérales et cadres supérieurs","1 219","5.9","1 195","6.2","1 241","8.3","1 340","11.9","1 320","12.3","-1.5"
"Cadres moyens","1 246","6.0","1 210","6.3","1 111","7.4","965","8.6","1 060","9.9","9.8"
"Employés","2 271","10.9","2 130","11.1","1 586","10.6","1 365","12.1","1 320","12.3","-3.3"
"Ouvriers","3 643","17.5","2 955","15.4","1 769","11.8","840","7.5","820","7.6","-2.4"
"Personnel de service","1 551","7.5","1 429","7.5","1 106","7.4","605","5.4","820","7.6","35.5"
"Autres actifs (2)","316","1.5","307","1.6","253","1.7","180","1.6","220","2.0","22.2"
"ACTIFS","11 644","56.1","10 207","53.3","7 713","51.6","5 770","51.3","5 860","54.6","1.6"
"Enfants de moins de 15 ans","3 004","14.5","2 588","13.5","1 734","11.6","1 255","11.2","1 144","10.7","-8.8"
"Retraités","1 130","5.4","1 390","7.3","1 613","10.8","1 670","14.9","1 532","14.3","-8.3"
"Autres sans activité professionnelle","4 994","24.0","4 958","25.9","3 898","26.1","2 545","22.6","2 204","20.5","-13.4"
"INACTIFS","9 128","43.9","8 936","46.7","7 245","48.4","5 470","48.7","4 880","45.4","-10.8"
"TOTAL","20 772","100.0","19 143","100.0","14 958","100.0","11 240","100.0","10 740","100.0","-4.4"
