"Quartier 20","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"SORBONNE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","9 126","100.0","7 447","100.0","6 030","100.0","5 956","100.0","5 827","100.0","5 703","100.0","-2.2","-2.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","4 260","46.7","3 582","48.1","3 280","54.4","3 392","57.0","3 370","57.8","3 465","60.8","-0.6","2.8"
". 2 personnes","","-","","2 431","26.6","2 051","27.5","1 590","26.4","1 360","22.8","1 414","24.3","1 318","23.1","4.0","-6.8"
". 3 personnes","","-","","1 197","13.1","893","12.0","600","10.0","608","10.2","519","8.9","467","8.2","-14.6","-10.0"
". 4 personnes","","-","","655","7.2","504","6.8","300","5.0","404","6.8","360","6.2","304","5.3","-10.9","-15.6"
". 5 personnes et plus","","-","","583","6.4","417","5.6","260","4.3","192","3.2","164","2.8","149","2.6","-14.6","-9.1"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","6 203","83.3","5 220","86.6","5 084","85.4","5 071","87.0","4 997","87.6","-0.3","-1.5"
". 1 enfant","","-","","-","","728","9.8","435","7.2","520","8.7","420","7.2","404","7.1","-19.2","-3.8"
". 2 enfants","","-","","-","","349","4.7","240","4.0","288","4.8","253","4.3","219","3.8","-12.2","-13.4"
". 3 enfants ou plus","","-","","-","","167","2.2","135","2.2","64","1.1","83","1.4","83","1.5","29.7","0.0"
"POPULATION DES MÉNAGES","","20 629","","18 747","","14 557","","10 925","","10 612","","10 067","","9 517","","-5.1","-5.5"
"Taille moyenne des ménages","","0.00","","2.05","","1.95","","1.81","","1.78","","1.73","","1.67","","-3.0","-3.4"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
