"Quartier 68","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"EPINETTES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","28 097","100.0","27 301","100.0","25 930","100.0","24 240","100.0","23 201","100.0","24 146","100.0","-4.3","4.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","9 622","34.2","9 975","36.5","11 405","44.0","12 212","50.4","11 759","50.7","13 186","54.6","-3.7","12.1"
". 2 personnes","","-","","9 158","32.6","8 833","32.4","7 960","30.7","7 048","29.1","6 555","28.3","6 124","25.4","-7.0","-6.6"
". 3 personnes","","-","","4 806","17.1","4 519","16.6","3 740","14.4","2 664","11.0","2 561","11.0","2 433","10.1","-3.9","-5.0"
". 4 personnes","","-","","2 524","9.0","2 311","8.5","1 795","6.9","1 520","6.3","1 466","6.3","1 512","6.3","-3.6","3.1"
". 5 personnes et plus","","-","","1 987","7.1","1 663","6.1","1 030","4.0","796","3.3","860","3.7","891","3.7","8.0","3.6"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","21 055","77.1","21 080","81.3","20 412","84.2","19 215","82.8","19 947","82.6","-5.9","3.8"
". 1 enfant","","-","","-","","3 716","13.6","2 855","11.0","2 272","9.4","2 215","9.5","2 383","9.9","-2.5","7.6"
". 2 enfants","","-","","-","","1 672","6.1","1 410","5.4","1 080","4.5","1 170","5.0","1 250","5.2","8.3","6.8"
". 3 enfants ou plus","","-","","-","","858","3.1","585","2.3","476","2.0","601","2.6","566","2.3","26.3","-5.8"
"POPULATION DES MÉNAGES","","60 251","","64 088","","60 152","","51 545","","44 804","","43 274","","43 814","","-3.4","1.2"
