"17ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","98 800","100.0","99 231","100.0","94 721","100.0","92 875","100.0","88 344","100.0","84 251","100.0","85 794","100.0","-4.6","1.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","32 923","33.3","36 209","36.5","37 035","39.1","43 070","46.4","44 336","50.2","42 555","50.5","45 297","52.8","-4.0","6.4"
". 2 personnes","31 933","32.3","30 586","30.8","28 620","30.2","26 550","28.6","24 192","27.4","22 520","26.7","22 112","25.8","-6.9","-1.8"
". 3 personnes","16 920","17.1","15 677","15.8","14 325","15.1","12 270","13.2","9 796","11.1","9 123","10.8","8 683","10.1","-6.9","-4.8"
". 4 personnes","9 135","9.2","8 781","8.8","8 101","8.6","6 680","7.2","6 568","7.4","6 477","7.7","6 195","7.2","-1.4","-4.4"
". 5 personnes et plus","7 889","8.0","7 978","8.0","6 640","7.0","4 305","4.6","3 452","3.9","3 576","4.2","3 507","4.1","3.6","-1.9"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","75 516","79.7","76 645","82.5","73 480","83.2","69 422","82.4","70 935","82.7","-5.5","2.2"
". 1 enfant","-","","-","","11 009","11.6","9 420","10.1","8 364","9.5","7 863","9.3","8 019","9.3","-6.0","2.0"
". 2 enfants","-","","-","","5 495","5.8","4 890","5.3","4 620","5.2","4 866","5.8","4 762","5.6","5.3","-2.1"
". 3 enfants ou plus","-","","-","","2 701","2.9","1 920","2.1","1 880","2.1","2 100","2.5","2 078","2.4","11.7","-1.0"
"POPULATION DES MÉNAGES","230 041","","226 128","","208 153","","183 540","","167 212","","160 358","","159 404","","-4.1","-0.6"
