"SECTEUR SECONDAIRE (2)","","36 440
33.5","26 820
26.7","18 588
19.9","14 706
15.0","9 917","10.7","-20.9","-32.6"
"dont","Industrie","22 976
21.1","17 865
17.8","13 152
14.1","10 874","11.1   
-","","-17.3",""
"",". Industrie agro-alimentaire","-","1 210
1.2","1 008
1.1","1 060","1.1   
-","","5.2",""
"",". Production et distribution d'énergie","-","2 190
2.2","1 876
2.0","1 612","1.6   
-","","-14.1",""
"",". Industrie des biens intermédiaires","-","2 955
2.9","1 508
1.6","652","0.7   
-","","-56.8",""
"",". Industrie des biens d'équipements","-","6 740
6.7","4 116
4.4","2 680","2.7   
-","","-34.9",""
"",". Industries des biens de consommations courantes","-","4 770
4.7","4 644
5.0","4 870","5.0   
-","","4.9",""
"","Bâtiment et génie civil","13 464
12.4","8 955
8.9","5 436
5.8","3 832","3.9   
-","","-29.5",""
"dont","Industrie","-","-","-","-","5 839","6.3","",""
"","Energie","-","-","-","-","1 526","1.7","",""
"","Construction","-","-","-","-","2 552","2.8","",""
"SECTEUR TERTIAIRE","","72 164
66.4","73 580
73.2","74 692
80.1","83 404
85.0","82 307","89.2","11.7","-1.3"
"dont","Commerce","14 072
12.9","11 730
11.7","10 416
11.2","10 108","10.3   
10 047","10.9","-3.0","-0.6"
"","Transports et télécommunications","-","8 655
8.6","8 668
9.3","8 484","8.6","","-2.1",""
"","Services marchands","-","28 045
27.9","32 668
35.0","41 852","42.6","","28.1",""
"","Location et crédit bail immobilier","-","325
0.3","788
0.8","588","0.6","","-25.4",""
"","Assurances","-","3 090
3.1","3 036
3.3","2 736","2.8","","-9.9",""
"","Organismes financiers","-","3 155
3.1","3 232
3.5","3 336","3.4","","3.2",""
"","Services non marchands","-","18 580
18.5","15 884
17.0","16 300","16.6","","2.6",""
"dont","Transports","-","-","-","-","4 487","4.9","",""
"","Activités immobilières","-","-","-","-","4 095","4.4","",""
"","Activités financières","-","-","-","-","7 005","7.6","",""
"","Services aux entreprises","-","-","-","-","25 876","28.0","",""
"","Services aux particuliers","-","-","-","-","13 290","14.4","",""
"","Education","-","-","-","-","9 687","10.5","",""
"","Administration","-","-","-","-","7 820","8.5","",""
"TOTAL DES EMPLOIS EXERCÉS","","108 756
100.0","100 455
100.0","93 304
100.0","98 162
100.0","92 267","100.0","5.2","-6.0"
