"17ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","15 820","6.8","11 832","5.2","9 905","4.7","7 100","3.8","6 120","3.6","-13.8"
"Professions libérales et cadres supérieurs","13 851","6.0","15 197","6.7","14 863","7.1","16 260","8.8","17 060","10.0","4.9"
"Cadres moyens","16 472","7.1","17 942","7.9","18 514","8.8","16 500","8.9","13 500","7.9","-18.2"
"Employés","28 583","12.4","28 023","12.3","24 642","11.7","23 380","12.6","19 520","11.5","-16.5"
"Ouvriers","27 824","12.0","25 655","11.2","22 569","10.7","18 025","9.7","14 640","8.6","-18.8"
"Personnel de service","20 368","8.8","18 586","8.1","16 476","7.8","12 240","6.6","9 720","5.7","-20.6"
"Autres actifs (2)","3 770","1.6","3 608","1.6","3 077","1.5","2 515","1.4","2 500","1.5","-0.6"
"ACTIFS","126 688","54.8","120 843","52.9","110 046","52.4","96 020","51.8","83 060","48.8","-13.5"
"Enfants de moins de 15 ans","35 156","15.2","33 546","14.7","27 333","13.0","22 690","12.2","21 348","12.5","-5.9"
"Retraités","14 838","6.4","18 320","8.0","23 232","11.1","26 385","14.2","27 092","15.9","2.7"
"Autres sans activité professionnelle","54 453","23.6","55 593","24.4","49 585","23.6","40 315","21.7","38 820","22.8","-3.7"
"INACTIFS","104 447","45.2","107 459","47.1","100 150","47.6","89 390","48.2","87 260","51.2","-2.4"
"TOTAL","231 135","100.0","228 302","100.0","210 196","100.0","185 410","100.0","170 320","100.0","-8.1"
