"17ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","100 835","100.0","103 447","100.0","102 590","100.0","101 550","100.0","101 376","100.0","101 691","100.0","102 859","100.0","0.3","1.1"
"Résidences principales","98 800","98.0","99 230","95.9","95 134","92.7","92 875","91.5","88 344","87.1","84 251","82.9","85 794","83.4","-4.6","1.8"
"Logements vacants (1)","586","0.6","1 785","1.7","3 353","3.3","5 550","5.5","8 672","8.6","9 051","8.9","10 695","10.4","4.4","18.2"
"Résidences secondaires","1 332","1.3","2 432","2.4","4 103","4.0","3 125","3.1","4 360","4.3","1 823","1.8","2 483","2.4","-58.2","36.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","6 566","6.5","3 887","3.8","","-40.8"
"Autres","117","0.1","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","98 800","100.0","99 230","100.0","95 134","100.0","92 875","100.0","88 344","100.0","84 251","100.0","85 794","100.0","-4.6","1.8"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","76 943","76.5","75 527","76.1","66 742","70.2","59 925","64.5","50 948","57.7","51 014","60.6","49 713","57.9","0.1","-2.6"
". 1915 à 1948","16 350","16.2","19 322","19.5","21 628","22.7","21 955","23.6","23 588","26.7","17 842","21.2","18 511","21.6","-24.4","3.7"
". 1949 à 1981","135","0.1","4 381","4.4","6 764","7.1","10 995","11.8","13 808","15.6","13 148","15.6","13 884","16.2","-4.8","5.6"
". 1982 à 1989","-","","-","","-","","-","","-","","2 247","2.7","2 194","2.6","","-2.4"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","1 492","1.7","",""
". Non déterminée","7 208","7.2","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","13 612","15.4","7 673","9.1","4 089","4.8","-43.6","-46.7"
". sans WC ou sans douche","-","","-","","-","","-","","12 248","13.9","7 479","8.9","6 241","7.3","-38.9","-16.6"
"Total sans confort","-","","-","","-","","-","","25 860","29.3","15 152","18.0","10 330","12.0","-41.4","-31.8"
". WC et douche, sans chauffage central","-","","-","","-","","-","","16 056","18.2","11 788","14.0","5 419","6.3","-26.6","-54.0"
". WC et douche, avec chauffage central","-","","-","","-","","-","","46 428","52.6","57 311","68.0","70 045","81.6","23.4","22.2"
"Total confort","-","","-","","-","","-","","62 484","70.7","69 099","82.0","75 464","88.0","10.6","9.2"
"Avec WC intérieurs","52 489","53.1","57 465","57.9","57 418","60.4","65 730","70.8","68 204","77.2","72 400","85.9","77 111","89.9","6.2","6.5"
"Avec baignoire ou douche","28 254","28.6","39 116","39.4","48 214","50.7","62 560","67.4","69 084","78.2","73 277","87.0","80 058","93.3","6.1","9.3"
